row_label_raw,row_label_full,Năm nay,Nội địa > VND,Nước ngoài > VND,Tổng cộng > VND,numeric__Nội địa > VND,numeric__Nước ngoài > VND,numeric__Tổng cộng > VND
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,10.780.440.960.169,4.725.712.516.138,15.506.153.476.307,10780440960169.0,4725712516138.0,15506153476307.0
Giá vốn hàng bán và cung cấp dịch vụ,Giá vốn hàng bán và cung cấp dịch vụ,Giá vốn hàng bán và cung cấp dịch vụ,(7.982.703.096.500),(3.578.862.777.372),(11.561.565.873.872),-7982703096500.0,-3578862777372.0,-11561565873872.0
Lợi nhuận kinh doanh theo bộ phận,Lợi nhuận kinh doanh theo bộ phận,Lợi nhuận kinh doanh theo bộ phận,2.797.737.863.669,1.146.849.738.766,3.944.587.602.435,2797737863669.0,1146849738766.0,3944587602435.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,,,(1.091.400.049.187),,,-1091400049187.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,,(930.350.779.330),,,-930350779330.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,385.862.574.359,,,385862574359.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,(84.680.559.436),,,-84680559436.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,6.076.196.442,,,6076196442.0
Chi phí khác,Chi phí khác,Chi phí khác,,,(746.399.900),,,-746399900.0
Lợi nhuận trước thuế,Lợi nhuận trước thuế,Lợi nhuận trước thuế,,,2.229.348.585.383,,,2229348585383.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,,,(257.969.957.282),,,-257969957282.0
Thu nhập thuế thu nhập doanh nghiệp hoãn lại,Thu nhập thuế thu nhập doanh nghiệp hoãn lại,Thu nhập thuế thu nhập doanh nghiệp hoãn lại,,,16.988.739.859,,,16988739859.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,1.988.367.367.960,,,1988367367960.0
