row_label_raw,row_label_full,Năm trước,Nội địa > VND,Nước ngoài > VND,Tổng cộng > VND,numeric__Nội địa > VND,numeric__Nước ngoài > VND,numeric__Tổng cộng > VND
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,10.078.118.396.411,2.769.475.300.116,12.847.593.696.527,10078118396411.0,2769475300116.0,12847593696527.0
Giá vốn hàng bán và cung cấp dịch vụ,Giá vốn hàng bán và cung cấp dịch vụ,Giá vốn hàng bán và cung cấp dịch vụ,(7.951.833.853.049),(2.495.852.826.634),(10.447.686.679.683),-7951833853049.0,-2495852826634.0,-10447686679683.0
Lợi nhuận kinh doanh theo bộ phận,Lợi nhuận kinh doanh theo bộ phận,Lợi nhuận kinh doanh theo bộ phận,2.126.284.543.362,273.622.473.482,2.399.907.016.844,2126284543362.0,273622473482.0,2399907016844.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,,,(960.449.156.504),,,-960449156504.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,,(449.063.775.293),,,-449063775293.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,380.002.488.482,,,380002488482.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,(72.492.708.990),,,-72492708990.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,24.847.041.285,,,24847041285.0
Chi phí khác,Chi phí khác,Chi phí khác,,,(1.053.763.524),,,-1053763524.0
Lợi nhuận trước thuế,Lợi nhuận trước thuế,Lợi nhuận trước thuế,,,1.321.697.142.300,,,1321697142300.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,,,(97.518.384.291),,,-97518384291.0
Thu nhập thuế thu nhập doanh nghiệp hoãn lại,Thu nhập thuế thu nhập doanh nghiệp hoãn lại,Thu nhập thuế thu nhập doanh nghiệp hoãn lại,,,9.547.696.403,,,9547696403.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,1.233.726.454.412,,,1233726454412.0
