row_label_raw,row_label_full,Phải thu Tập đoàn Công nghiệp - Năng lượngQuốc gia Việt Nam (i),Số cuối nămVND > 163.556.657.130,Số đầu nămVND > -,numeric__Số cuối nămVND > 163.556.657.130,numeric__Số đầu nămVND > -
Phải thu thuế nhà thầu (ii),Phải thu thuế nhà thầu (ii),Phải thu thuế nhà thầu (ii),43.228.523.461,43.228.523.461,43228523461.0,43228523461.0
Lãi dự thu tiền gửi có kỳ hạn,Lãi dự thu tiền gửi có kỳ hạn,Lãi dự thu tiền gửi có kỳ hạn,19.357.052.060,59.590.202.742,19357052060.0,59590202742.0
"Phải thu bảo hiểm kho hàng phân bón, phân đạm","Phải thu bảo hiểm kho hàng phân bón, phân đạm","Phải thu bảo hiểm kho hàng phân bón, phân đạm",13.111.774.372,-,13111774372.0,
Tạm ứng cán bộ công nhân viên,Tạm ứng cán bộ công nhân viên,Tạm ứng cán bộ công nhân viên,8.379.358.061,5.514.067.378,8379358061.0,5514067378.0
Phải thu tiền chiết khấu hàng mua,Phải thu tiền chiết khấu hàng mua,Phải thu tiền chiết khấu hàng mua,5.605.112.500,2.495.325.600,5605112500.0,2495325600.0
"Ký cược, ký quỹ","Ký cược, ký quỹ","Ký cược, ký quỹ",1.662.605.000,1.586.203.000,1662605000.0,1586203000.0
Phải thu khác,Phải thu khác,Phải thu khác,2.779.340.439,2.261.762.043,2779340439.0,2261762043.0
,,,257.680.423.023,114.676.084.224,257680423023.0,114676084224.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu ngắn hạn khác từ các bên liên quan(Chi tiết tại Thuyết minh số 36),Trong đó: > Phải thu ngắn hạn khác từ các bên liên quan(Chi tiết tại Thuyết minh số 36),Phải thu ngắn hạn khác từ các bên liên quan(Chi tiết tại Thuyết minh số 36),164.208.437.130,651.780.000,164208437130.0,651780000.0
