row_label_raw,row_label_full,col_0,31/12/2024 > Giá trị,31/12/2024 > Số có khả năng trả nợ,Phát sinh trong năm > Tăng,Phát sinh trong năm > Giảm,01/01/2024 > Giá trị,01/01/2024 > Số có khả năng trả nợ,numeric__31/12/2024 > Giá trị,numeric__31/12/2024 > Số có khả năng trả nợ,numeric__Phát sinh trong năm > Tăng,numeric__Phát sinh trong năm > Giảm,numeric__01/01/2024 > Giá trị,numeric__01/01/2024 > Số có khả năng trả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,25.296.663.881,25.296.663.881,375.730.636.096,371.822.000.994,21.388.028.779,21.388.028.779,25296663881.0,25296663881.0,375730636096.0,371822000994.0,21388028779.0,21388028779.0
Ngân hàng TMCP Ngoại thương Việt Nam-CN Khánh Hòa (1),Ngân hàng TMCP Ngoại thương Việt Nam-CN Khánh Hòa (1),Ngân hàng TMCP Ngoại thương Việt Nam-CN Khánh Hòa (1),25.296.663.881,25.296.663.881,35.231.186.913,31.322.551.811,21.388.028.779,21.388.028.779,25296663881.0,25296663881.0,35231186913.0,31322551811.0,21388028779.0,21388028779.0
Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Ba Đình,Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Ba Đình,Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Ba Đình,-,-,57.499.449.183,57.499.449.183,-,-,,,57499449183.0,57499449183.0,,
Cá nhân mua nợ,Cá nhân mua nợ,Cá nhân mua nợ,-,-,277.000.000.000,277.000.000.000,-,-,,,277000000000.0,277000000000.0,,
Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,130.000.000.000,130.000.000.000,130.000.000.000,118.900.000.000,118.900.000.000,118.900.000.000,130000000000.0,130000000000.0,130000000000.0,118900000000.0,118900000000.0,118900000000.0
Cá nhân mua nợ (2),Cá nhân mua nợ (2),Cá nhân mua nợ (2),-,-,-,18.900.000.000,18.900.000.000,18.900.000.000,,,,18900000000.0,18900000000.0,18900000000.0
Ngân hàng TMCP Công Thương Việt Nam (3),Ngân hàng TMCP Công Thương Việt Nam (3),Ngân hàng TMCP Công Thương Việt Nam (3),130.000.000.000,130.000.000.000,130.000.000.000,100.000.000.000,100.000.000.000,100.000.000.000,130000000000.0,130000000000.0,130000000000.0,100000000000.0,100000000000.0,100000000000.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,1.270.000.000.000,1.270.000.000.000,-,262.331.166.911,1.532.331.166.911,1.532.331.166.911,1270000000000.0,1270000000000.0,,262331166911.0,1532331166911.0,1532331166911.0
- Dưới 60 tháng,- Dưới 60 tháng,- Dưới 60 tháng,,,,,,,,,,,,
Ngân hàng TMCP Công Thương Việt Nam (3),- Dưới 60 tháng > Ngân hàng TMCP Công Thương Việt Nam (3),Ngân hàng TMCP Công Thương Việt Nam (3),1.270.000.000.000,1.270.000.000.000,-,130.000.000.000,1.400.000.000.000,1.400.000.000.000,1270000000000.0,1270000000000.0,,130000000000.0,1400000000000.0,1400000000000.0
Cá nhân mua nợ (2),- Dưới 60 tháng > Cá nhân mua nợ (2),Cá nhân mua nợ (2),-,-,-,132.331.166.911,132.331.166.911,132.331.166.911,,,,132331166911.0,132331166911.0,132331166911.0
Tổng,- Dưới 60 tháng > Tổng,Tổng,1.425.296.663.881,1.425.296.663.881,505.730.636.096,753.053.167.905,1.672.619.195.690,1.672.619.195.690,1425296663881.0,1425296663881.0,505730636096.0,753053167905.0,1672619195690.0,1672619195690.0
