row_label_raw,row_label_full,Tên đối tượng > Ông Hoàng Văn Tuyên > Các đối tượng khác,Năm xử lý > 2020,31/12/2024 VND > 18.500.000.000 > 9.072.734.922,01/01/2024 VND > 18.500.000.000 > 9.072.734.922,numeric__Năm xử lý > 2020,numeric__31/12/2024 VND > 18.500.000.000 > 9.072.734.922,numeric__01/01/2024 VND > 18.500.000.000 > 9.072.734.922
Tài sản thiếu chờ xử lý,Tài sản thiếu chờ xử lý,Tài sản thiếu chờ xử lý,,3.508.248.253,3.508.248.253,,3508248253.0,3508248253.0
Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,,176.637.298.868,176.637.298.868,,176637298868.0,176637298868.0
Công ty Cổ phần đầu tư và xây dựngSông Đà (SDCON),Công ty Cổ phần đầu tư và xây dựngSông Đà (SDCON),Công ty Cổ phần đầu tư và xây dựngSông Đà (SDCON),2023,8.289.079.493,8.289.079.493,2023.0,8289079493.0,8289079493.0
Chi nhánh Công ty Cổ phần Thương mại- Xây dựng - Cơ khí Điện TĐH Comeeco,Chi nhánh Công ty Cổ phần Thương mại- Xây dựng - Cơ khí Điện TĐH Comeeco,Chi nhánh Công ty Cổ phần Thương mại- Xây dựng - Cơ khí Điện TĐH Comeeco,2023,30.000.000,30.000.000,2023.0,30000000.0,30000000.0
Công ty Cổ phần Tư vấn và Dịch vụ Tài chính FSE,Công ty Cổ phần Tư vấn và Dịch vụ Tài chính FSE,Công ty Cổ phần Tư vấn và Dịch vụ Tài chính FSE,2023,20.150.000,20.150.000,2023.0,20150000.0,20150000.0
Công ty TNHH Nội Thất Bảo Bình,Công ty TNHH Nội Thất Bảo Bình,Công ty TNHH Nội Thất Bảo Bình,2023,133.332.791,133.332.791,2023.0,133332791.0,133332791.0
Công ty Cổ phần Địa chính Hà Nội,Công ty Cổ phần Địa chính Hà Nội,Công ty Cổ phần Địa chính Hà Nội,2023,18.168.250,18.168.250,2023.0,18168250.0,18168250.0
Công ty Cổ phần Đầu tư Thành An,Công ty Cổ phần Đầu tư Thành An,Công ty Cổ phần Đầu tư Thành An,2021,144.000.000.000,144.000.000.000,2021.0,144000000000.0,144000000000.0
Công ty Luật TNHH Key Việt Nam,Công ty Luật TNHH Key Việt Nam,Công ty Luật TNHH Key Việt Nam,2021,10.000.000.000,10.000.000.000,2021.0,10000000000.0,10000000000.0
Công ty TNHH Đầu tư và Thương mại Topcare,Công ty TNHH Đầu tư và Thương mại Topcare,Công ty TNHH Đầu tư và Thương mại Topcare,2021,10.000.000.000,10.000.000.000,2021.0,10000000000.0,10000000000.0
