row_label_raw,row_label_full,col_0,Năm 2024VND,Năm 2023VND,numeric__Năm 2024VND,numeric__Năm 2023VND
Thu nhập khác,Thu nhập khác,Thu nhập khác,Thu nhập khác,Thu nhập khác,,
Thu thanh lý tài sản cố định hữu hình,Thu nhập khác > Thu thanh lý tài sản cố định hữu hình,Thu thanh lý tài sản cố định hữu hình,208.767.675,1.222.567.857,208767675.0,1222567857.0
Lãi do chênh lệch kiểm kê,Thu nhập khác > Lãi do chênh lệch kiểm kê,Lãi do chênh lệch kiểm kê,-,230.695.348,,230695348.0
Tiền phạt thu được,Thu nhập khác > Tiền phạt thu được,Tiền phạt thu được,-,37.368.292,,37368292.0
Xử lý công nợ,Thu nhập khác > Xử lý công nợ,Xử lý công nợ,178.391.386.739,14.302.477.373,178391386739.0,14302477373.0
Thu nhập khác,Thu nhập khác > Thu nhập khác,Thu nhập khác,545.978.295,221.507.429,545978295.0,221507429.0
Tổng,Thu nhập khác > Tổng,Tổng,179.146.132.709,16.014.616.299,179146132709.0,16014616299.0
Chi phí khác,Chi phí khác,Chi phí khác,Chi phí khác,Chi phí khác,,
Các khoản chậm nộp tiền thuê đất (tại Công ty Cổ phần Viptour Togi),Chi phí khác > Các khoản chậm nộp tiền thuê đất (tại Công ty Cổ phần Viptour Togi),Các khoản chậm nộp tiền thuê đất (tại Công ty Cổ phần Viptour Togi),11.030.681.352,10.679.761.382,11030681352.0,10679761382.0
"Các khoản truy thu, phạt thuế, chậm nộp thuế, phạt vi phạm hành chính","Chi phí khác > Các khoản truy thu, phạt thuế, chậm nộp thuế, phạt vi phạm hành chính","Các khoản truy thu, phạt thuế, chậm nộp thuế, phạt vi phạm hành chính",3.252.728.391,1.277.678.095,3252728391.0,1277678095.0
Xử lý công nợ,Chi phí khác > Xử lý công nợ,Xử lý công nợ,-,21.595.150.195,,21595150195.0
Phạt vi phạm hợp đồng,Chi phí khác > Phạt vi phạm hợp đồng,Phạt vi phạm hợp đồng,425.645.162,-,425645162.0,
Chi phí khác,Chi phí khác > Chi phí khác,Chi phí khác,3.233.843.625,2.230.247.431,3233843625.0,2230247431.0
Tổng,Chi phí khác > Tổng,Tổng,17.942.898.530,35.782.837.103,17942898530.0,35782837103.0
Thu nhập khác/chi phí khác (thuẩn),Chi phí khác > Thu nhập khác/chi phí khác (thuẩn),Thu nhập khác/chi phí khác (thuẩn),161.203.234.179,(19.768.220.804),161203234179.0,-19768220804.0
