row_label_raw,row_label_full,col_0,01/01/2024,Số phải nộp trong năm,Số đã nộp trong năm,31/12/2024,numeric__01/01/2024,numeric__Số phải nộp trong năm,numeric__Số đã nộp trong năm,numeric__31/12/2024
Phải nộp,Phải nộp,Phải nộp,230.542.597.721,126.992.846.270,128.331.980.212,229.203.463.779,230542597721.0,126992846270.0,128331980212.0,229203463779.0
Thuế giá trị gia tăng,Thuế giá trị gia tăng,Thuế giá trị gia tăng,1.330.810.976,47.948.637.846,48.331.230.791,948.218.031,1330810976.0,47948637846.0,48331230791.0,948218031.0
Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,362.490.255,1.651.601.394,1.895.225.896,118.865.753,362490255.0,1651601394.0,1895225896.0,118865753.0
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,38.224.674.238,34.702.483.646,46.271.537.511,26.655.620.373,38224674238.0,34702483646.0,46271537511.0,26655620373.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,1.075.263.582,8.532.454.404,8.448.175.919,1.159.542.067,1075263582.0,8532454404.0,8448175919.0,1159542067.0
"Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất",100.461.578.805,21.593.269.791,21.593.269.791,100.461.578.805,100461578805.0,21593269791.0,21593269791.0,100461578805.0
Thuế bảo vệ môi trường và các loại thuế khác,Thuế bảo vệ môi trường và các loại thuế khác,Thuế bảo vệ môi trường và các loại thuế khác,89.079.779.865,12.315.965.309,1.536.106.424,99.859.638.750,89079779865.0,12315965309.0,1536106424.0,99859638750.0
"Phí, lệ phí và các khoản phải nộp khác","Phí, lệ phí và các khoản phải nộp khác","Phí, lệ phí và các khoản phải nộp khác",8.000.000,248.433.880,256.433.880,-,8000000.0,248433880.0,256433880.0,
Phải thu,Phải thu,Phải thu,9.384.827.816,-,-,9.384.827.816,9384827816.0,,,9384827816.0
Thuế giá trị gia tăng,Thuế giá trị gia tăng,Thuế giá trị gia tăng,1.791.000.000,-,-,1.791.000.000,1791000000.0,,,1791000000.0
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,7.593.827.816,-,-,7.593.827.816,7593827816.0,,,7593827816.0
