row_label_raw,row_label_full,col_0,31/12/2024 (VND) > Giá gốc,31/12/2024 (VND) > Giá trị ghi số,01/01/2024 (VND) > Giá gốc,01/01/2024 (VND) > Giá trị ghi số,numeric__31/12/2024 (VND) > Giá gốc,numeric__31/12/2024 (VND) > Giá trị ghi số,numeric__01/01/2024 (VND) > Giá gốc,numeric__01/01/2024 (VND) > Giá trị ghi số
Ngắn hạn,Ngắn hạn,Ngắn hạn,26.034.898.871,26.034.898.871,44.333.012.030,44.333.012.030,26034898871.0,26034898871.0,44333012030.0,44333012030.0
Tiền gửi có kỳ hạn (i),Tiền gửi có kỳ hạn (i),Tiền gửi có kỳ hạn (i),16.034.898.871,16.034.898.871,34.333.012.030,34.333.012.030,16034898871.0,16034898871.0,34333012030.0,34333012030.0
Các khoản đầu tư khác (ii),Các khoản đầu tư khác (ii),Các khoản đầu tư khác (ii),10.000.000.000,10.000.000.000,10.000.000.000,10.000.000.000,10000000000.0,10000000000.0,10000000000.0,10000000000.0
Tổng,Tổng,Tổng,26.034.898.871,26.034.898.871,44.333.012.030,44.333.012.030,26034898871.0,26034898871.0,44333012030.0,44333012030.0
