row_label_raw,row_label_full,col_0,Vốn đầu tư của chủ sở hữu,Vốn khác của chủ sở hữu,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Quỹ khác thuộc vốn chủ sở hữu,Lợi nhuận sau thuế chưa phân phối,Lợi ích của cổ đông không kiểm soát,Tổng,numeric__Vốn đầu tư của chủ sở hữu,numeric__Vốn khác của chủ sở hữu,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Quỹ khác thuộc vốn chủ sở hữu,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích của cổ đông không kiểm soát,numeric__Tổng
Số dư tại 01/01/2023,Số dư tại 01/01/2023,Số dư tại 01/01/2023,3.000.000.000.000,6.269.828.101,(10.000),110.849.900.972,14.345.072.839,(2.656.756.452.297),624.912.004.176,1.099.620.343.791,3000000000000.0,6269828101.0,-10000.0,110849900972.0,14345072839.0,-2656756452297.0,624912004176.0,1099620343791.0
Tăng vốn tại Công ty con,Tăng vốn tại Công ty con,Tăng vốn tại Công ty con,-,-,-,-,-,-,320.000.000.000,320.000.000.000,,,,,,,320000000000.0,320000000000.0
Tăng/giảm do thay đổi tỷ lệ,Tăng/giảm do thay đổi tỷ lệ,Tăng/giảm do thay đổi tỷ lệ,-,-,-,-,-,94.080.442.324,47.180.493.964,141.260.936.288,,,,,,94080442324.0,47180493964.0,141260936288.0
Lãi trong năm trước,Lãi trong năm trước,Lãi trong năm trước,-,-,-,-,-,(7.841.978.256),14.949.077.201,1.747.982.593,,,,,,-7841978256.0,14949077201.0,1747982593.0
Điều chính do thay đổi tỷ lệ lợi ích tại Công ty con,Điều chính do thay đổi tỷ lệ lợi ích tại Công ty con,Điều chính do thay đổi tỷ lệ lợi ích tại Công ty con,-,-,-,(5.359.116.352),-,(3.970.637.365),(2.805.455.869),(6.776.093.234),,,,-5359116352.0,,-3970637365.0,-2805455869.0,-6776093234.0
Phân phối lợi nhuận Ctại các công ty,Phân phối lợi nhuận Ctại các công ty,Phân phối lợi nhuận Ctại các công ty,-,-,-,-,-,-,1.402.823.380,1.402.823.380,,,,,,,1402823380.0,1402823380.0
Tăng do thanh lý OMC (Công ty con của OCH),Tăng do thanh lý OMC (Công ty con của OCH),Tăng do thanh lý OMC (Công ty con của OCH),-,-,-,-,-,(2.343.885.995),2.186.724.446,(157.161.549),,,,,,-2343885995.0,2186724446.0,-157161549.0
Tăng/giảm khác,Tăng/giảm khác,Tăng/giảm khác,-,-,-,-,-,(2.576.832.511.589),1.007.825.667.298,1.557.098.831.269,,,,,,-2576832511589.0,1007825667298.0,1557098831269.0
Số dư tại 31/12/2023,Số dư tại 31/12/2023,Số dư tại 31/12/2023,3.000.000.000.000,6.269.828.101,(10.000),105.490.784.620,14.345.072.839,(2.576.832.511.589),1.007.825.667.298,1.557.098.831.269,3000000000000.0,6269828101.0,-10000.0,105490784620.0,14345072839.0,-2576832511589.0,1007825667298.0,1557098831269.0
Số dư tại 01/01/2024,Số dư tại 01/01/2024,Số dư tại 01/01/2024,3.000.000.000.000,6.269.828.101,(10.000),105.490.784.620,14.345.072.839,(2.576.832.511.589),1.007.825.667.298,1.557.098.831.269,3000000000000.0,6269828101.0,-10000.0,105490784620.0,14345072839.0,-2576832511589.0,1007825667298.0,1557098831269.0
Lãi trong năm nay,Lãi trong năm nay,Lãi trong năm nay,-,-,-,-,-,119.297.830.833,95.849.463.177,215.147.294.010,,,,,,119297830833.0,95849463177.0,215147294010.0
Mua thêm cổ phần của công ty con,Mua thêm cổ phần của công ty con,Mua thêm cổ phần của công ty con,-,-,-,-,-,(18.838.009.905),(15.044.962.895),(33.882.972.800),,,,,,-18838009905.0,-15044962895.0,-33882972800.0
Tăng vốn (i),Tăng vốn (i),Tăng vốn (i),-,-,-,-,-,-,2.007.386,2.007.386,,,,,,,2007386.0,2007386.0
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,-,-,-,(1.374.632.910),(1.991.751.618),(3.366.384.528),,,,,,-1374632910.0,-1991751618.0,-3366384528.0
Tăng giảm do hợp nhất,Tăng giảm do hợp nhất,Tăng giảm do hợp nhất,-,-,-,-,-,29.118.734.572,(29.118.734.572),-,,,,,,29118734572.0,-29118734572.0,
Tăng/giảm khác,Tăng/giảm khác,Tăng/giảm khác,-,997.380,-,5.140.415,-,-,(6.137.795),-,,997380.0,,5140415.0,,,-6137795.0,
Số dư tại 31/12/2024,Số dư tại 31/12/2024,Số dư tại 31/12/2024,3.000.000.000.000,6.270.825.481,(10.000),105.495.925.035,14.345.072.839,(2.448.628.588.999),1.057.515.550.981,1.734.998.775.337,3000000000000.0,6270825481.0,-10000.0,105495925035.0,14345072839.0,-2448628588999.0,1057515550981.0,1734998775337.0
