row_label_raw,row_label_full,Tên,Địa chỉ,Hoạt động kinh doanh chính,Ti lệ góp vốn,Ti lệ lợi ích,Ti lệ biểu quyết,numeric__Địa chỉ,numeric__Hoạt động kinh doanh chính,numeric__Ti lệ góp vốn,numeric__Ti lệ lợi ích,numeric__Ti lệ biểu quyết
Công ty con trực tiếp,Công ty con trực tiếp,Công ty con trực tiếp,Công ty con trực tiếp,Công ty con trực tiếp,Công ty con trực tiếp,Công ty con trực tiếp,Công ty con trực tiếp,,,,,
Công ty Cổ phần Tân Việt,Công ty con trực tiếp > Công ty Cổ phần Tân Việt,Công ty Cổ phần Tân Việt,Nha Trang,Dịch vụ lưu trú ngắn ngày,"51,42%","51,42%","51,42%",,,0.5142,0.5142,0.5142
Công ty Cổ phần Bánh Givral,Công ty con trực tiếp > Công ty Cổ phần Bánh Givral,Công ty Cổ phần Bánh Givral,Hồ Chí Minh,Sản xuất các loại bánh từ bột,"50,77%","50,77%","50,77%",,,0.5077,0.5077,0.5077
Công ty Cổ phần Viptour - Togi,Công ty con trực tiếp > Công ty Cổ phần Viptour - Togi,Công ty Cổ phần Viptour - Togi,Hà Nội,Dịch vụ lưu trú,"86,13%","86,13%","86,13%",,,0.8613,0.8613,0.8613
Công ty Cổ phần Kem Tràng Tiền,Công ty con trực tiếp > Công ty Cổ phần Kem Tràng Tiền,Công ty Cổ phần Kem Tràng Tiền,Hà Nội,Chế biến sữa và các sản phẩm từ sữa,"65,98%","99,81%","99,98%",,,0.6598,0.9981,0.9998
Công ty TNHH MTV Sao Hôm Nha Trang,Công ty con trực tiếp > Công ty TNHH MTV Sao Hôm Nha Trang,Công ty TNHH MTV Sao Hôm Nha Trang,Nha Trang,Nhà hàng và các dịch vụ ăn uống phục vụ lưu động,"99,9997%","99,9997%","99,9997%",,,0.999997,0.999997,0.999997
Quỹ đầu tư cơ hội đặc biệt Leadvisors,Công ty con trực tiếp > Quỹ đầu tư cơ hội đặc biệt Leadvisors,Quỹ đầu tư cơ hội đặc biệt Leadvisors,Hà Nội,"Quản lý quỹ đầu tư chứng khoán, công Công ty đầu tư chứng khoán","99,00%","99,51%","100,00%",,,0.99,0.9951000000000001,1.0
Công ty TNHH Thực phẩm sạch JP,Công ty con trực tiếp > Công ty TNHH Thực phẩm sạch JP,Công ty TNHH Thực phẩm sạch JP,Sơn La,"Chế biến, bảo quản thủy sản, thịt và các sản phẩm từ thủy sản, thịt","100,00%","100,00%","100,00%",,,1.0,1.0,1.0
Công ty con gián tiếp,Công ty con gián tiếp,Công ty con gián tiếp,Công ty con gián tiếp,Công ty con gián tiếp,Công ty con gián tiếp,Công ty con gián tiếp,Công ty con gián tiếp,,,,,
Công ty TNHH Sản xuất Bình Hưng Sở hữu gián tiếp thông qua Công ty Cổ phần Bánh Girval,Công ty con gián tiếp > Công ty TNHH Sản xuất Bình Hưng Sở hữu gián tiếp thông qua Công ty Cổ phần Bánh Girval,Công ty TNHH Sản xuất Bình Hưng Sở hữu gián tiếp thông qua Công ty Cổ phần Bánh Girval,Bắc Ninh,"Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê",,"50,77%","100,00%",,,,0.5077,1.0
Công ty Cổ phần Kem Tín Phát Sở hữu gián tiếp thông qua Công ty Cổ phần Kem Tràng Tiền,Công ty con gián tiếp > Công ty Cổ phần Kem Tín Phát Sở hữu gián tiếp thông qua Công ty Cổ phần Kem Tràng Tiền,Công ty Cổ phần Kem Tín Phát Sở hữu gián tiếp thông qua Công ty Cổ phần Kem Tràng Tiền,Hà Nội,Chế biến sữa và các sản phẩm từ sữa,,"99,68%","99,87%",,,,0.9968,0.9987
