row_label_raw,row_label_full,CHỈ TIÊU,MS,TM,Năm 2024VND,Năm 2023VND,numeric__MS,numeric__TM,numeric__Năm 2024VND,numeric__Năm 2023VND
I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,
1. Lợi nhuận trước thuế,I. Lưu chuyển tiền từ hoạt động kinh doanh > 1. Lợi nhuận trước thuế,1. Lợi nhuận trước thuế,01,,247.331.301.386,163.052.229.445,1.0,,247331301386.0,163052229445.0
2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,,,,
- Khấu hao tài sản cố định và BDS đầu tư,2. Điều chỉnh cho các khoản > - Khấu hao tài sản cố định và BDS đầu tư,- Khấu hao tài sản cố định và BDS đầu tư,02,,46.266.841.130,53.989.794.366,2.0,,46266841130.0,53989794366.0
- Các khoản dự phòng,2. Điều chỉnh cho các khoản > - Các khoản dự phòng,- Các khoản dự phòng,03,,(41.139.375.863),18.673.449.074,3.0,,-41139375863.0,18673449074.0
"- Lãi, lỗ chênh lệch tỷ giá hối đoái chưa thực hiện","2. Điều chỉnh cho các khoản > - Lãi, lỗ chênh lệch tỷ giá hối đoái chưa thực hiện","- Lãi, lỗ chênh lệch tỷ giá hối đoái chưa thực hiện",04,,(108.586.053),(10.337.502),4.0,,-108586053.0,-10337502.0
"- Lãi, lỗ từ hoạt động đầu tư","2. Điều chỉnh cho các khoản > - Lãi, lỗ từ hoạt động đầu tư","- Lãi, lỗ từ hoạt động đầu tư",05,,(59.259.892.698),(73.827.293.882),5.0,,-59259892698.0,-73827293882.0
- Chi phí lãi vay,2. Điều chỉnh cho các khoản > - Chi phí lãi vay,- Chi phí lãi vay,06,,107.769.515.970,20.207.091.779,6.0,,107769515970.0,20207091779.0
3. thay đổi vốn lưu động,2. Điều chỉnh cho các khoản > 3. thay đổi vốn lưu động,3. thay đổi vốn lưu động,08,,300.859.803.872,182.084.933.280,8.0,,300859803872.0,182084933280.0
"- Tăng, giảm các khoản phải thu","2. Điều chỉnh cho các khoản > - Tăng, giảm các khoản phải thu","- Tăng, giảm các khoản phải thu",09,,265.940.567.790,128.008.169.514,9.0,,265940567790.0,128008169514.0
"- Tăng, giảm hàng tồn kho","2. Điều chỉnh cho các khoản > - Tăng, giảm hàng tồn kho","- Tăng, giảm hàng tồn kho",10,,5.472.462.378,13.400.672.044,10.0,,5472462378.0,13400672044.0
"- Tăng, giảm các khoản phải trả","2. Điều chỉnh cho các khoản > - Tăng, giảm các khoản phải trả","- Tăng, giảm các khoản phải trả",11,,(158.437.112.004),(201.328.642.422),11.0,,-158437112004.0,-201328642422.0
"- Tăng, giảm chí phí trả trước","2. Điều chỉnh cho các khoản > - Tăng, giảm chí phí trả trước","- Tăng, giảm chí phí trả trước",12,,(1.943.119.265),16.053.025.116,12.0,,-1943119265.0,16053025116.0
- Tiền lãi vay đã trả,2. Điều chỉnh cho các khoản > - Tiền lãi vay đã trả,- Tiền lãi vay đã trả,14,,(114.743.818.982),(5.614.935.552),14.0,,-114743818982.0,-5614935552.0
