row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị","Phương tiện vântai, truyền dẫn",Thiết bị dụng cụquản lý,TSCĐhữu hình khác,Đơn vi tính: VND,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị","numeric__Phương tiện vântai, truyền dẫn",numeric__Thiết bị dụng cụquản lý,numeric__TSCĐhữu hình khác,numeric__Đơn vi tính: VND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư tại 01/01/2024,NGUYÊN GIÁ > Số dư tại 01/01/2024,Số dư tại 01/01/2024,530.861.285.744,248.059.308.617,36.522.734.323,1.779.941.923,10.403.120.540,827.626.391.147,530861285744.0,248059308617.0,36522734323.0,1779941923.0,10403120540.0,827626391147.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,-,9.777.650.391,795.684.000,36.560.000,219.151.400,10.829.045.791,,9777650391.0,795684000.0,36560000.0,219151400.0,10829045791.0
Mua trong năm,NGUYÊN GIÁ > Mua trong năm,Mua trong năm,-,7.853.457.391,795.684.000,36.560.000,219.151.400,8.904.852.791,,7853457391.0,795684000.0,36560000.0,219151400.0,8904852791.0
Phân loại lại,NGUYÊN GIÁ > Phân loại lại,Phân loại lại,-,1.924.193.000,-,-,-,1.924.193.000,,1924193000.0,,,,1924193000.0
Giảm trong năm,NGUYÊN GIÁ > Giảm trong năm,Giảm trong năm,2.007.764.974,4.649.023.818,964.002.498,34.774.841,13.129.792,7.668.695.923,2007764974.0,4649023818.0,964002498.0,34774841.0,13129792.0,7668695923.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,3.147.284.589,-,-,-,3.147.284.589,,3147284589.0,,,,3147284589.0
Phân loại lại,NGUYÊN GIÁ > Phân loại lại,Phân loại lại,1.924.193.000,-,-,-,-,1.924.193.000,1924193000.0,,,,,1924193000.0
Giảm khác,NGUYÊN GIÁ > Giảm khác,Giảm khác,83.571.974,1.501.739.229,964.002.498,34.774.841,13.129.792,2.597.218.334,83571974.0,1501739229.0,964002498.0,34774841.0,13129792.0,2597218334.0
Số dư tại 31/12/2024,NGUYÊN GIÁ > Số dư tại 31/12/2024,Số dư tại 31/12/2024,528.853.520.770,253.187.935.190,36.354.415.825,1.781.727.082,10.609.142.148,830.786.741.015,528853520770.0,253187935190.0,36354415825.0,1781727082.0,10609142148.0,830786741015.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số dư tại 01/01/2024,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư tại 01/01/2024,Số dư tại 01/01/2024,195.154.112.618,142.955.375.179,24.789.603.579,1.164.439.770,8.970.765.443,373.034.296.589,195154112618.0,142955375179.0,24789603579.0,1164439770.0,8970765443.0,373034296589.0
