row_label_raw,row_label_full,col_0,"Bán hàng hóa, thành phẩm",Cung cấp dịch vụ,Bất động sản,Tổng,"numeric__Bán hàng hóa, thành phẩm",numeric__Cung cấp dịch vụ,numeric__Bất động sản,numeric__Tổng
Doanh thu,Doanh thu,Doanh thu,868.098.083.329,114.586.772.156,2.000.000.000,984.684.855.485,868098083329.0,114586772156.0,2000000000.0,984684855485.0
Giá vốn,Giá vốn,Giá vốn,428.876.735.478,98.192.733.766,1.308.927.619,528.378.396.863,428876735478.0,98192733766.0,1308927619.0,528378396863.0
Lợi nhuận gộp,Lợi nhuận gộp,Lợi nhuận gộp,439.221.347.851,16.394.038.390,691.072.381,456.306.458.622,439221347851.0,16394038390.0,691072381.0,456306458622.0
KẾT QUẢ HOẠT ĐỘNG,KẾT QUẢ HOẠT ĐỘNG,KẾT QUẢ HOẠT ĐỘNG,KẾT QUẢ HOẠT ĐỘNG,KẾT QUẢ HOẠT ĐỘNG,KẾT QUẢ HOẠT ĐỘNG,KẾT QUẢ HOẠT ĐỘNG,,,,
Kết quả bộ phận,KẾT QUẢ HOẠT ĐỘNG > Kết quả bộ phận,Kết quả bộ phận,439.221.347.851,16.394.038.390,691.072.381,456.306.458.622,439221347851.0,16394038390.0,691072381.0,456306458622.0
Doanh thu hoạt động tài chính,KẾT QUẢ HOẠT ĐỘNG > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,52.696.089.818,,,,52696089818.0
"Phần lãi hoặc lỗ trong công ty liên doanh, liên kết","KẾT QUẢ HOẠT ĐỘNG > Phần lãi hoặc lỗ trong công ty liên doanh, liên kết","Phần lãi hoặc lỗ trong công ty liên doanh, liên kết",,,,20.031.731.328,,,,20031731328.0
Chi phí tài chính,KẾT QUẢ HOẠT ĐỘNG > Chi phí tài chính,Chi phí tài chính,,,,(26.540.960.509),,,,-26540960509.0
Chi phí bán hàng,KẾT QUẢ HOẠT ĐỘNG > Chi phí bán hàng,Chi phí bán hàng,,,,(171.669.932.077),,,,-171669932077.0
Chi phí quản lý doanh nghiệp,KẾT QUẢ HOẠT ĐỘNG > Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,,,(148.002.936.933),,,,-148002936933.0
Lợi nhuận khác,KẾT QUẢ HOẠT ĐỘNG > Lợi nhuận khác,Lợi nhuận khác,,,,(19.768.220.804),,,,-19768220804.0
Thuế TNDN hiện hành,KẾT QUẢ HOẠT ĐỘNG > Thuế TNDN hiện hành,Thuế TNDN hiện hành,,,,(45.354.601.617),,,,-45354601617.0
Thuế TNDN hoãn lại,KẾT QUẢ HOẠT ĐỘNG > Thuế TNDN hoãn lại,Thuế TNDN hoãn lại,,,,23.563.308.460,,,,23563308460.0
Lợi nhuận trong năm,KẾT QUẢ HOẠT ĐỘNG > Lợi nhuận trong năm,Lợi nhuận trong năm,,,,141.260.936.288,,,,141260936288.0
