row_label_raw,row_label_full,col_0,Tỷ lệ > Vốnnấm giữ,Tỷ lệ > Quyềnbiểu quyết,31/12/2024 > Giá trị ghi sổ,31/12/2024 > Giá trị theo phươngpháp vốn chủ,31/12/2024 > Giá trị ghi sổ_1,01/01/2024 > Giá trị theo phươngpháp vốn chủ,01/01/2024,01/01/2024_1,numeric__Tỷ lệ > Vốnnấm giữ,numeric__Tỷ lệ > Quyềnbiểu quyết,numeric__31/12/2024 > Giá trị ghi sổ,numeric__31/12/2024 > Giá trị theo phươngpháp vốn chủ,numeric__31/12/2024 > Giá trị ghi sổ_1,numeric__01/01/2024 > Giá trị theo phươngpháp vốn chủ,numeric__01/01/2024,numeric__01/01/2024_1
"Đầu tư vào Công ty liên doanh, liên kết","Đầu tư vào Công ty liên doanh, liên kết","Đầu tư vào Công ty liên doanh, liên kết",,,104.228.000.000,208.114.255.643,2.189.228.000.000,2.257.159.474.745,,,,,104228000000.0,208114255643.0,2189228000000.0,2257159474745.0,,
Công ty Cổ phần Đầu tư BOT Hà Nội - Bắc Giang,Công ty Cổ phần Đầu tư BOT Hà Nội - Bắc Giang,Công ty Cổ phần Đầu tư BOT Hà Nội - Bắc Giang,"21,00%","21,00%",104.228.000.000,208.114.255.643,104.228.000.000,172.159.474.745,,,0.21,0.21,104228000000.0,208114255643.0,104228000000.0,172159474745.0,,
Công ty Cổ phần IDS Equity Holdings (*),Công ty Cổ phần IDS Equity Holdings (*),Công ty Cổ phần IDS Equity Holdings (*),,,-,-,2.085.000.000.000,2.085.000.000.000,,,,,,,2085000000000.0,2085000000000.0,,
Tổng,Tổng,Tổng,,,104.228.000.000,208.114.255.643,2.189.228.000.000,2.257.159.474.745,,,,,104228000000.0,208114255643.0,2189228000000.0,2257159474745.0,,
,,,Tỷ lệ,Tỷ lệ,31/12/2024,31/12/2024,01/01/2024,01/01/2024,,,,,,,,,,
,,,Vớnnấm giữ,Quyềnbiểu quyết,Giá gốc,Giá trịhợp lý,Dự phòng,Giá gốc,Giá trịhợp lý,Dự phòng,,,,,,,,
Đầu tư dài hạn khác,Đầu tư dài hạn khác,Đầu tư dài hạn khác,,,2.101.423.700.000,,(16.423.700.000),18.423.700.000,,(18.423.700.000),,,2101423700000.0,,-16423700000.0,18423700000.0,,-18423700000.0
Công ty Cổ phần Kỹ thuật Xây dựngvà Vật liệu Xây dựng,Công ty Cổ phần Kỹ thuật Xây dựngvà Vật liệu Xây dựng,Công ty Cổ phần Kỹ thuật Xây dựngvà Vật liệu Xây dựng,,,4.423.700.000,,(4.423.700.000),4.423.700.000,,(4.423.700.000),,,4423700000.0,,-4423700000.0,4423700000.0,,-4423700000.0
Công ty Cổ phần Đầu tư và Xây dựng Sông Đà,Công ty Cổ phần Đầu tư và Xây dựng Sông Đà,Công ty Cổ phần Đầu tư và Xây dựng Sông Đà,"0,0%","0,4%",-,,-,2.000.000.000,,(2.000.000.000),0.0,0.004,,,,2000000000.0,,-2000000000.0
Công ty Cổ phần Đầu tư Thương mạiVneco Hà Nội,Công ty Cổ phần Đầu tư Thương mạiVneco Hà Nội,Công ty Cổ phần Đầu tư Thương mạiVneco Hà Nội,"4,0%","4,0%",12.000.000.000,,(12.000.000.000),12.000.000.000,,(12.000.000.000),0.04,0.04,12000000000.0,,-12000000000.0,12000000000.0,,-12000000000.0
Công ty Cổ phần IDS Equity Holdings (*),Công ty Cổ phần IDS Equity Holdings (*),Công ty Cổ phần IDS Equity Holdings (*),30%,,2.085.000.000.000,,-,-,,-,0.3,,2085000000000.0,,,,,
Tổng,Tổng,Tổng,,,2.101.423.700.000,(**),(16.423.700.000),18.423.700.000,(**),(18.423.700.000),,,2101423700000.0,,-16423700000.0,18423700000.0,,-18423700000.0
