row_label_raw,row_label_full,col_0,31/12/2024 > Giá trị ghi sổ,31/12/2024 > Dự phòng,01/01/2024 > Giá trị ghi sổ,01/01/2024 > Dự phòng,numeric__31/12/2024 > Giá trị ghi sổ,numeric__31/12/2024 > Dự phòng,numeric__01/01/2024 > Giá trị ghi sổ,numeric__01/01/2024 > Dự phòng
Ngắn hạn,Ngắn hạn,Ngắn hạn,274.516.712.466,(137.991.337.503),180.564.863.496,(131.650.789.686),274516712466.0,-137991337503.0,180564863496.0,-131650789686.0
"Ký cược, ký quỹ","Ký cược, ký quỹ","Ký cược, ký quỹ",7.841.918.800,(53.498.000),7.657.196.381,(51.070.000),7841918800.0,-53498000.0,7657196381.0,-51070000.0
Tạm ứng,Tạm ứng,Tạm ứng,11.158.532.317,-,3.636.962.252,-,11158532317.0,,3636962252.0,
Phải thu khác,Phải thu khác,Phải thu khác,255.516.261.349,(137.937.839.503),169.270.704.863,(131.599.719.686),255516261349.0,-137937839503.0,169270704863.0,-131599719686.0
"- Lãi tiền gửi, tiền cho vay","- Lãi tiền gửi, tiền cho vay","- Lãi tiền gửi, tiền cho vay",3.415.395.190,(1.611.493.333),4.205.143.880,(1.611.493.333),3415395190.0,-1611493333.0,4205143880.0,-1611493333.0
- Công ty Cổ phần Dịch vụ Hỗ trợ và Phát triển Đầu tư - IOC,- Công ty Cổ phần Dịch vụ Hỗ trợ và Phát triển Đầu tư - IOC,- Công ty Cổ phần Dịch vụ Hỗ trợ và Phát triển Đầu tư - IOC,14.591.642.060,(14.591.642.060),14.663.642.060,(14.663.642.060),14591642060.0,-14591642060.0,14663642060.0,-14663642060.0
- Phải thu ứng tiền cho các cá nhân tại Công ty CP Viptour - Togi,- Phải thu ứng tiền cho các cá nhân tại Công ty CP Viptour - Togi,- Phải thu ứng tiền cho các cá nhân tại Công ty CP Viptour - Togi,46.240.000.000,(46.240.000.000),46.240.000.000,(46.240.000.000),46240000000.0,-46240000000.0,46240000000.0,-46240000000.0
- Bà Nguyễn Thị Dung,- Bà Nguyễn Thị Dung,- Bà Nguyễn Thị Dung,53.200.000.000,(53.200.000.000),53.200.000.000,(53.200.000.000),53200000000.0,-53200000000.0,53200000000.0,-53200000000.0
- Phải thu thanh lý hợp đồng chuyển nhượng cổ phần,- Phải thu thanh lý hợp đồng chuyển nhượng cổ phần,- Phải thu thanh lý hợp đồng chuyển nhượng cổ phần,-,-,25.820.000.000,-,,,25820000000.0,
- Khoản phải thu liên quan nhận chuyển nhượng cổ phần (1),- Khoản phải thu liên quan nhận chuyển nhượng cổ phần (1),- Khoản phải thu liên quan nhận chuyển nhượng cổ phần (1),114.000.000.000,-,-,-,114000000000.0,,,
- Phải thu khác,- Phải thu khác,- Phải thu khác,23.997.224.099,(22.294.704.110),25.141.918.923,(15.884.584.293),23997224099.0,-22294704110.0,25141918923.0,-15884584293.0
Dài hạn,Dài hạn,Dài hạn,323.836.126.954,-,693.135.508.950,(44.383.247.680),323836126954.0,,693135508950.0,-44383247680.0
"Ký cược, ký quỹ","Ký cược, ký quỹ","Ký cược, ký quỹ",144.362.576.774,-,441.661.958.770,-,144362576774.0,,441661958770.0,
- Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh Ba Đình (2),- Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh Ba Đình (2),- Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh Ba Đình (2),140.400.000.000,-,438.000.000.000,-,140400000000.0,,438000000000.0,
- Các đối tượng khác,- Các đối tượng khác,- Các đối tượng khác,3.962.576.774,-,3.661.958.770,-,3962576774.0,,3661958770.0,
Phải thu khác,Phải thu khác,Phải thu khác,179.473.550.180,-,251.473.550.180,(44.383.247.680),179473550180.0,,251473550180.0,-44383247680.0
- Công ty TNHH VNT (3),- Công ty TNHH VNT (3),- Công ty TNHH VNT (3),78.027.802.500,-,150.027.802.500,-,78027802500.0,,150027802500.0,
- Công ty Licogi 19 (4),- Công ty Licogi 19 (4),- Công ty Licogi 19 (4),57.000.000.000,-,57.000.000.000,-,57000000000.0,,57000000000.0,
- Công ty Cổ phần Giày da và May mặc xuất khẩu (5),- Công ty Cổ phần Giày da và May mặc xuất khẩu (5),- Công ty Cổ phần Giày da và May mặc xuất khẩu (5),44.383.247.680,-,44.383.247.680,(44.383.247.680),44383247680.0,,44383247680.0,-44383247680.0
- Các khoản phải thu khác,- Các khoản phải thu khác,- Các khoản phải thu khác,62.500.000,-,62.500.000,-,62500000.0,,62500000.0,
Tổng,Tổng,Tổng,598.352.839.420,(137.991.337.503),873.700.372.446,(176.034.037.366),598352839420.0,-137991337503.0,873700372446.0,-176034037366.0
