row_label_raw,row_label_full,col_0,"Nhà cửa, vật kiến trúc","Máy móc, thiết bị","Phương tiện vận tải,truyền dẫn","Thiết bị, dụng cụquản lý",Cộng,"numeric__Nhà cửa, vật kiến trúc","numeric__Máy móc, thiết bị","numeric__Phương tiện vận tải,truyền dẫn","numeric__Thiết bị, dụng cụquản lý",numeric__Cộng
,,,VND,VND,VND,VND,VND,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,11.466.978.282,134.290.000,2.654.682.718,1.418.142.480,15.674.093.480,11466978282.0,134290000.0,2654682718.0,1418142480.0,15674093480.0
- Mua trong năm,Nguyên giá > - Mua trong năm,- Mua trong năm,-,-,2.436.478.182,-,2.436.478.182,,,2436478182.0,,2436478182.0
"- Thanh lý, nhượng bán","Nguyên giá > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,(1.966.115.091),-,(1.966.115.091),,,-1966115091.0,,-1966115091.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,11.466.978.282,134.290.000,3.125.045.809,1.418.142.480,16.144.456.571,11466978282.0,134290000.0,3125045809.0,1418142480.0,16144456571.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,11.466.978.282,88.993.307,2.654.682.718,1.369.976.709,15.580.631.016,11466978282.0,88993307.0,2654682718.0,1369976709.0,15580631016.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,-,26.857.992,162.431.880,16.333.332,205.623.204,,26857992.0,162431880.0,16333332.0,205623204.0
"- Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,(1.966.115.091),-,(1.966.115.091),,,-1966115091.0,,-1966115091.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,11.466.978.282,115.851.299,850.999.507,1.386.310.041,13.820.139.129,11466978282.0,115851299.0,850999507.0,1386310041.0,13820139129.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,-,45.296.693,-,48.165.771,93.462.464,,45296693.0,,48165771.0,93462464.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,-,18.438.701,2.274.046.302,31.832.439,2.324.317.442,,18438701.0,2274046302.0,31832439.0,2324317442.0
