row_label_raw,row_label_full,Thông tin chỉ tiết về các công ty liên kết của Công ty vào ngày 31/12/2020 như sau:Tên Công ty,Nơi thành lập và hoạt động,Tỷ lệ lợi ích,Tỷ lệ biểu quyết,Hoạt động kinh doanh,numeric__Nơi thành lập và hoạt động,numeric__Tỷ lệ lợi ích,numeric__Tỷ lệ biểu quyết,numeric__Hoạt động kinh doanh
- Công ty Cổ phần Dịch vụ Du lịch Phú Thọ,- Công ty Cổ phần Dịch vụ Du lịch Phú Thọ,- Công ty Cổ phần Dịch vụ Du lịch Phú Thọ,Thành phố Hồ Chí Minh,"34,96%","34,96%",Kinh doanh dịch vụ du lịch,,0.3496,0.3496,
- Công ty Cổ phần Đầu tư và Phát triển Hạ tầng An Việt,- Công ty Cổ phần Đầu tư và Phát triển Hạ tầng An Việt,- Công ty Cổ phần Đầu tư và Phát triển Hạ tầng An Việt,Thành phố Hà Nội,"21,47%","21,47%",Phát triển hạ tầng,,0.2147,0.2147,
- Công ty Cổ phần Capella Việt Nam,- Công ty Cổ phần Capella Việt Nam,- Công ty Cổ phần Capella Việt Nam,Thành phố Hồ Chí Minh,"31,48%","31,48%",Tổ chức sự kiện và quảng cáo,,0.3148,0.3148,
- Công ty Cổ phần Phú Hữu Gia,- Công ty Cổ phần Phú Hữu Gia,- Công ty Cổ phần Phú Hữu Gia,Tỉnh Đồng Nai,"45,28%","45,28%",Kinh doanh bất động sản,,0.45280000000000004,0.45280000000000004,
