row_label_raw,row_label_full,col_0,Vốn đầu tư của chủ sở hữu,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Cộng,numeric__Vốn đầu tư của chủ sở hữu,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Cộng
,,,VND,VND,VND,VND,,,,
Số dư tại ngày 01/01/2019,Số dư tại ngày 01/01/2019,Số dư tại ngày 01/01/2019,2.490.362.630.000,142.970.000,32.009.506.028,2.522.515.106.028,2490362630000.0,142970000.0,32009506028.0,2522515106028.0
Lãi trong năm trước,Lãi trong năm trước,Lãi trong năm trước,-,-,47.376.003.360,47.376.003.360,,,47376003360.0,47376003360.0
Cổ tức bằng cổ phiếu,Cổ tức bằng cổ phiếu,Cổ tức bằng cổ phiếu,74.682.770.000,-,(74.682.770.000),-,74682770000.0,,-74682770000.0,
Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,-,-,(991.064.823),(991.064.823),,,-991064823.0,-991064823.0
Số dư tại ngày 31/12/2019,Số dư tại ngày 31/12/2019,Số dư tại ngày 31/12/2019,2.565.045.400.000,142.970.000,3.711.674.565,2.568.900.044.565,2565045400000.0,142970000.0,3711674565.0,2568900044565.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,2.565.045.400.000,142.970.000,3.711.674.565,2.568.900.044.565,2565045400000.0,142970000.0,3711674565.0,2568900044565.0
Lãi trong năm nay,Lãi trong năm nay,Lãi trong năm nay,-,-,207.585.448.083,207.585.448.083,,,207585448083.0,207585448083.0
Trích quỹ khen thưởng phúc lợi (*),Trích quỹ khen thưởng phúc lợi (*),Trích quỹ khen thưởng phúc lợi (*),-,-,(800.310.763),(800.310.763),,,-800310763.0,-800310763.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,2.565.045.400.000,142.970.000,210.496.811.885,2.775.685.181.885,2565045400000.0,142970000.0,210496811885.0,2775685181885.0
