row_label_raw,row_label_full,col_0,"Phương tiện vận tải,truyền dẫn",Cộng,"numeric__Phương tiện vận tải,truyền dẫn",numeric__Cộng
,,,VND,VND,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,7.597.658.582,7.597.658.582,7597658582.0,7597658582.0
- Thuế tài chính trong năm,Nguyên giá > - Thuế tài chính trong năm,- Thuế tài chính trong năm,1.065.470.909,1.065.470.909,1065470909.0,1065470909.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,8.663.129.491,8.663.129.491,8663129491.0,8663129491.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,3.024.398.663,3.024.398.663,3024398663.0,3024398663.0
- Khấu hao trong năm,Giá trị hao mòn luỹ kế > - Khấu hao trong năm,- Khấu hao trong năm,1.420.466.636,1.420.466.636,1420466636.0,1420466636.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,4.444.865.299,4.444.865.299,4444865299.0,4444865299.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,4.573.259.919,4.573.259.919,4573259919.0,4573259919.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,4.218.264.192,4.218.264.192,4218264192.0,4218264192.0
