row_label_raw,row_label_full,Tên công ty nhận đầu tư,Nơi thành lập và hoạt động,Tỷ lệ lợi ích,Tỷ lệ quyền biểu quyết,Hoạt động kinh doanh chính,numeric__Nơi thành lập và hoạt động,numeric__Tỷ lệ lợi ích,numeric__Tỷ lệ quyền biểu quyết,numeric__Hoạt động kinh doanh chính
Công ty CP Phát triển và Kinh doanh nhà Vĩnh Phúc,Công ty CP Phát triển và Kinh doanh nhà Vĩnh Phúc,Công ty CP Phát triển và Kinh doanh nhà Vĩnh Phúc,Vĩnh Phúc,"0,605%","0,605%",Kinh doanh bất động sản,,0.00605,0.00605,
Công ty CP Cầu Xây,Công ty CP Cầu Xây,Công ty CP Cầu Xây,Hà Nội,"5,71%","5,71%",Sản xuất và kinh doanh gạch,,0.0571,0.0571,
Công ty CP Tư vấn Xây dựng Viglacera Land,Công ty CP Tư vấn Xây dựng Viglacera Land,Công ty CP Tư vấn Xây dựng Viglacera Land,Hà Nội,"10,00%","10,00%","Lập dự án, thiết kế các công trình",,0.1,0.1,
Công ty CP Visaho,Công ty CP Visaho,Công ty CP Visaho,Hà Nội,"15,00%","15,00%",Tư vấn quản lý,,0.15,0.15,
