row_label_raw,row_label_full,Mã số,CHỈ TIỀU,Thuyết minh,Năm 2020 > VND,Năm 2019 > VND,numeric__CHỈ TIỀU,numeric__Thuyết minh,numeric__Năm 2020 > VND,numeric__Năm 2019 > VND
01,01,01,1. Doanh thu bán hàng và cung cấp dịch vụ,28,3.917.981.079.954,4.237.661.605.585,,28.0,3917981079954.0,4237661605585.0
02,02,02,2. Các khoản giảm trừ doanh thu,29,293.594.283,2.302.926.337,,29.0,293594283.0,2302926337.0
10,10,10,3. Doanh thu thuần bán hàng và cung cấp dịch vụ,,3.917.687.485.671,4.235.358.679.248,,,3917687485671.0,4235358679248.0
11,11,11,4. Giá vốn hàng bán,30,2.835.807.104.469,3.179.661.401.608,,30.0,2835807104469.0,3179661401608.0
20,20,20,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,,1.081.880.381.202,1.055.697.277.640,,,1081880381202.0,1055697277640.0
21,21,21,6. Doanh thu hoạt động tài chính,31,127.224.127.398,162.442.744.773,,31.0,127224127398.0,162442744773.0
22,22,22,7. Chi phí tài chính,32,55.727.316.898,52.811.705.530,,32.0,55727316898.0,52811705530.0
23,23,23,Trong đó: Chi phí lãi vay,,25.020.530.142,27.196.792.945,,,25020530142.0,27196792945.0
25,25,25,8. Chi phí bán hàng,33,118.454.613.163,152.316.025.171,,33.0,118454613163.0,152316025171.0
26,26,26,9. Chi phí quản lý doanh nghiệp,34,300.684.291.947,310.489.375.519,,34.0,300684291947.0,310489375519.0
30,30,30,10. Lợi nhuận thuần từ hoạt động kinh doanh,,734.238.286.592,702.522.916.193,,,734238286592.0,702522916193.0
31,31,31,11. Thu nhập khác,35,52.367.075.640,51.076.663.561,,35.0,52367075640.0,51076663561.0
32,32,32,12. Chi phí khác,36,50.709.888.175,34.511.048.897,,36.0,50709888175.0,34511048897.0
40,40,40,13. Lợi nhuận khác,,1.657.187.465,16.565.614.664,,,1657187465.0,16565614664.0
50,50,50,14. Tổng lợi nhuận kế toán trước thuế,,735.895.474.057,719.088.530.857,,,735895474057.0,719088530857.0
51,51,51,15. Chi phí thuế thu nhập doanh nghiệp hiện hành,38,132.075.357.586,123.226.642.910,,38.0,132075357586.0,123226642910.0
52,52,52,16. Chi phí thuế thu nhập doanh nghiệp hoãn lại,39,(2.641.038.573),-,,39.0,-2641038573.0,
60,60,60,17. Lợi nhuận sau thuế thu nhập doanh nghiệp,,606.461.155.044,595.861.887.947,,,606461155044.0,595861887947.0
