row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm kế toán,"Bản quyền, bằng sáng chế","Chi phí đến bù, san lập mặt bằng",Cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm kế toán,"numeric__Bản quyền, bằng sáng chế","numeric__Chi phí đến bù, san lập mặt bằng",numeric__Cộng
,,,VND,VND,VND,VND,VND,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,68.545.687.797,3.703.197.307,3.305.486.937,93.259.704.164,168.814.076.205,68545687797.0,3703197307.0,3305486937.0,93259704164.0,168814076205.0
- Mua trong năm,Nguyên giá > - Mua trong năm,- Mua trong năm,-,76.950.000,-,-,76.950.000,,76950000.0,,,76950000.0
- Giảm khác,Nguyên giá > - Giảm khác,- Giảm khác,-,(606.858.393),-,-,(606.858.393),,-606858393.0,,,-606858393.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,68.545.687.797,3.173.288.914,3.305.486.937,93.259.704.164,168.284.167.812,68545687797.0,3173288914.0,3305486937.0,93259704164.0,168284167812.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,8.031.498.423,3.457.008.813,89.045.909,13.996.158.267,25.573.711.412,8031498423.0,3457008813.0,89045909.0,13996158267.0,25573711412.0
- Khấu hao trong năm,Giá trị hao mòn luỹ kế > - Khấu hao trong năm,- Khấu hao trong năm,515.531.976,90.497.352,275.457.252,2.186.773.796,3.068.260.376,515531976.0,90497352.0,275457252.0,2186773796.0,3068260376.0
- Giảm khác,Giá trị hao mòn luỹ kế > - Giảm khác,- Giảm khác,-,(606.858.393),-,-,(606.858.393),,-606858393.0,,,-606858393.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,8.547.030.399,2.940.647.772,364.503.161,16.182.932.063,28.035.113.395,8547030399.0,2940647772.0,364503161.0,16182932063.0,28035113395.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,60.514.189.374,246.188.494,3.216.441.028,79.263.545.897,143.240.364.793,60514189374.0,246188494.0,3216441028.0,79263545897.0,143240364793.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,59.998.657.398,232.641.142,2.940.983.776,77.076.772.101,140.249.054.417,59998657398.0,232641142.0,2940983776.0,77076772101.0,140249054417.0
