row_label_raw,row_label_full,col_0,Kinh doanhBắt động sản vàxây dựng,"Sản xuất vàkinh doanh Kính,Sử, Sen vòi",Thương mại vàdịch vụ khác,Tổng cộng cácbộ phận,Loại trừ,Tổng cộng toànDoanh nghiệp,numeric__Kinh doanhBắt động sản vàxây dựng,"numeric__Sản xuất vàkinh doanh Kính,Sử, Sen vòi",numeric__Thương mại vàdịch vụ khác,numeric__Tổng cộng cácbộ phận,numeric__Loại trừ,numeric__Tổng cộng toànDoanh nghiệp
,,,VND,VND,VND,VND,VND,VND,,,,,,
Doanh thu thuần từ bán hàng và dịchvụ,Doanh thu thuần từ bán hàng và dịchvụ,Doanh thu thuần từ bán hàng và dịchvụ,2.408.509.621.898,1.450.177.485.833,59.000.377.940,3.917.687.485.671,-,3.917.687.485.671,2408509621898.0,1450177485833.0,59000377940.0,3917687485671.0,,3917687485671.0
Giá vốn của hàng bán ra bên ngoài,Giá vốn của hàng bán ra bên ngoài,Giá vốn của hàng bán ra bên ngoài,1.511.952.406.251,1.279.096.546.122,44.758.152.096,2.835.807.104.469,-,2.835.807.104.469,1511952406251.0,1279096546122.0,44758152096.0,2835807104469.0,,2835807104469.0
Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,896.557.215.647,171.080.939.711,14.242.225.844,1.081.880.381.202,-,1.081.880.381.202,896557215647.0,171080939711.0,14242225844.0,1081880381202.0,,1081880381202.0
Tổng chi phí mua tài sản cố định,Tổng chi phí mua tài sản cố định,Tổng chi phí mua tài sản cố định,2.425.907.707.490,16.006.132.760,-,2.441.913.840.250,-,2.441.913.840.250,2425907707490.0,16006132760.0,,2441913840250.0,,2441913840250.0
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,14.682.493.714.309,1.934.236.629.171,22.298.611.897,16.639.028.955.377,(1.454.268.396.594),15.184.760.558.783,14682493714309.0,1934236629171.0,22298611897.0,16639028955377.0,-1454268396594.0,15184760558783.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,-,-,-,-,-,1.788.962.505.250,,,,,,1788962505250.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,14.682.493.714.309,1.934.236.629.171,22.298.611.897,16.639.028.955.377,(1.454.268.396.594),16.973.723.064.033,14682493714309.0,1934236629171.0,22298611897.0,16639028955377.0,-1454268396594.0,16973723064033.0
Nợ phải trả của các bộ phận,Nợ phải trả của các bộ phận,Nợ phải trả của các bộ phận,10.243.783.070.803,1.803.795.198.544,20.717.491.733,12.068.295.761.080,(1.457.170.718.252),10.611.125.042.828,10243783070803.0,1803795198544.0,20717491733.0,12068295761080.0,-1457170718252.0,10611125042828.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,-,-,-,-,-,188.026.117.574,,,,,,188026117574.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,10.243.783.070.803,1.803.795.198.544,20.717.491.733,12.068.295.761.080,(1.457.170.718.252),10.799.151.160.402,10243783070803.0,1803795198544.0,20717491733.0,12068295761080.0,-1457170718252.0,10799151160402.0
