row_label_raw,row_label_full,col_0,Từ 1 năm trở xuống,Trên 1 năm đến 5 năm,Trên 5 năm,Cộng,numeric__Từ 1 năm trở xuống,numeric__Trên 1 năm đến 5 năm,numeric__Trên 5 năm,numeric__Cộng
,,,VND,VND,VND,VND,,,,
Tại ngày 31/12/2020,Tại ngày 31/12/2020,Tại ngày 31/12/2020,Tại ngày 31/12/2020,Tại ngày 31/12/2020,Tại ngày 31/12/2020,Tại ngày 31/12/2020,,,,
Vay và nợ,Tại ngày 31/12/2020 > Vay và nợ,Vay và nợ,129.834.754.584,132.022.595.140,-,261.857.349.724,129834754584.0,132022595140.0,,261857349724.0
"Phải trả người bán, phải trả khác","Tại ngày 31/12/2020 > Phải trả người bán, phải trả khác","Phải trả người bán, phải trả khác",1.033.362.251.511,19.408.563.352,-,1.052.770.814.863,1033362251511.0,19408563352.0,,1052770814863.0
Chi phí phải trả,Tại ngày 31/12/2020 > Chi phí phải trả,Chi phí phải trả,586.537.155.191,-,3.335.688.476.991,3.922.225.632.182,586537155191.0,,3335688476991.0,3922225632182.0
,,,1.749.734.161.286,151.431.158.492,3.335.688.476.991,5.236.853.796.769,1749734161286.0,151431158492.0,3335688476991.0,5236853796769.0
Tại ngày 01/01/2020,Tại ngày 01/01/2020,Tại ngày 01/01/2020,Tại ngày 01/01/2020,Tại ngày 01/01/2020,Tại ngày 01/01/2020,Tại ngày 01/01/2020,,,,
Vay và nợ,Tại ngày 01/01/2020 > Vay và nợ,Vay và nợ,229.594.596.434,208.352.084.225,-,437.946.680.659,229594596434.0,208352084225.0,,437946680659.0
"Phải trả người bán, phải trả khác","Tại ngày 01/01/2020 > Phải trả người bán, phải trả khác","Phải trả người bán, phải trả khác",914.804.970.912,20.264.825.004,-,935.069.795.916,914804970912.0,20264825004.0,,935069795916.0
Chi phí phải trả,Tại ngày 01/01/2020 > Chi phí phải trả,Chi phí phải trả,382.757.756.291,-,2.605.127.474.307,2.987.885.230.598,382757756291.0,,2605127474307.0,2987885230598.0
,,,1.527.157.323.637,228.616.909.229,2.605.127.474.307,4.360.901.707.173,1527157323637.0,228616909229.0,2605127474307.0,4360901707173.0
