row_label_raw,row_label_full,col_0,Từ 1 năm trở xuống,Trên 1 năm đến 5 năm,Trên 5 năm,Cộng,numeric__Từ 1 năm trở xuống,numeric__Trên 1 năm đến 5 năm,numeric__Trên 5 năm,numeric__Cộng
,,,VND,VND,VND,VND,,,,
Tại ngày 31/12/2020,Tại ngày 31/12/2020,Tại ngày 31/12/2020,Tại ngày 31/12/2020,Tại ngày 31/12/2020,Tại ngày 31/12/2020,Tại ngày 31/12/2020,,,,
Tiền và các khoản tương đương tiền,Tại ngày 31/12/2020 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,1.320.550.312.115,-,-,1.320.550.312.115,1320550312115.0,,,1320550312115.0
"Phải thu khách hàng, phải thu khác","Tại ngày 31/12/2020 > Phải thu khách hàng, phải thu khác","Phải thu khách hàng, phải thu khác",483.653.543.605,1.267.163.127,-,484.920.706.732,483653543605.0,1267163127.0,,484920706732.0
Các khoản cho vay,Tại ngày 31/12/2020 > Các khoản cho vay,Các khoản cho vay,14.883.443.469,-,-,14.883.443.469,14883443469.0,,,14883443469.0
Cộng,Tại ngày 31/12/2020 > Cộng,Cộng,1.819.087.299.189,1.267.163.127,-,1.820.354.462.316,1819087299189.0,1267163127.0,,1820354462316.0
Tại ngày 01/01/2020,Tại ngày 01/01/2020,Tại ngày 01/01/2020,Tại ngày 01/01/2020,Tại ngày 01/01/2020,Tại ngày 01/01/2020,Tại ngày 01/01/2020,,,,
Tiền và các khoản tương đương tiền,Tại ngày 01/01/2020 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,2.083.394.044.179,-,-,2.083.394.044.179,2083394044179.0,,,2083394044179.0
"Phải thu khách hàng, phải thu khác","Tại ngày 01/01/2020 > Phải thu khách hàng, phải thu khác","Phải thu khách hàng, phải thu khác",584.391.369.001,1.778.476.942,-,586.169.845.943,584391369001.0,1778476942.0,,586169845943.0
Các khoản cho vay,Tại ngày 01/01/2020 > Các khoản cho vay,Các khoản cho vay,14.883.443.469,-,-,14.883.443.469,14883443469.0,,,14883443469.0
Cộng,Tại ngày 01/01/2020 > Cộng,Cộng,2.682.668.856.649,1.778.476.942,-,2.684.447.333.591,2682668856649.0,1778476942.0,,2684447333591.0
