row_label_raw,row_label_full,Hà Nội,Xây dựng và kinh doanh bất động sản,numeric__Xây dựng và kinh doanh bất động sản
Hà Nội,Hà Nội,Hà Nội,Xây dựng và kinh doanh bất động sản,
Bắc Ninh,Bắc Ninh,Bắc Ninh,Kinh doanh bất động sản,
Bắc Ninh,Bắc Ninh,Bắc Ninh,Xây dựng và kinh doanh bất động sản,
Bắc Ninh,Bắc Ninh,Bắc Ninh,"Đầu tư, xây dựng công trình, dự án",
Bình Dương,Bình Dương,Bình Dương,Sản xuất và kinh doanh kính nổi,
Bình Dương,Bình Dương,Bình Dương,"Sản xuất, kinh doanh sứ vệ sinh và phụ kiện",
Bà Rịa -Vũng,Bà Rịa -Vũng,Bà Rịa -Vũng,"Sản xuất, kinh doanh sứ vệ sinh và phụ kiện",
Tàu,Tàu,Tàu,,
Hà Nội,Hà Nội,Hà Nội,Sản xuất và kinh doanh thiết bị vệ sinh,
Hà Nội,Hà Nội,Hà Nội,Nghiên cứu và phát triển Công nghệ,
