row_label_raw,row_label_full,col_0,Mã số,Đã trình bày trên báo cáo năm trước,Đã điều chỉnh lại,Chênh lệch,numeric__Mã số,numeric__Đã trình bày trên báo cáo năm trước,numeric__Đã điều chỉnh lại,numeric__Chênh lệch
,,,,VND,VND,VND,,,,
Băng Cân đối kế toán riêng,Băng Cân đối kế toán riêng,Băng Cân đối kế toán riêng,Băng Cân đối kế toán riêng,Băng Cân đối kế toán riêng,Băng Cân đối kế toán riêng,Băng Cân đối kế toán riêng,,,,
Phải thu ngắn hạn của khách hàng,Băng Cân đối kế toán riêng > Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,131,533.369.856.311,516.902.288.649,(16.467.567.662),131.0,533369856311.0,516902288649.0,-16467567662.0
Phải thu ngắn hạn khác,Băng Cân đối kế toán riêng > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,136,84.724.767.156,101.192.334.818,16.467.567.662,136.0,84724767156.0,101192334818.0,16467567662.0
Dự phòng đầu tư tài chính dài hạn,Băng Cân đối kế toán riêng > Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,254,(260.979.871.833),(294.189.390.991),(33.209.519.158),254.0,-260979871833.0,-294189390991.0,-33209519158.0
Người mua trả tiền trước ngắn hạn,Băng Cân đối kế toán riêng > Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,312,1.486.255.286.186,1.447.511.885.345,(38.743.400.841),312.0,1486255286186.0,1447511885345.0,-38743400841.0
Thuế và các khoản phải nộp Nhà nước,Băng Cân đối kế toán riêng > Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,313,99.139.727.785,92.497.823.953,(6.641.903.832),313.0,99139727785.0,92497823953.0,-6641903832.0
Phải trả ngắn hạn khác,Băng Cân đối kế toán riêng > Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,319,304.450.782.908,343.194.183.749,38.743.400.841,319.0,304450782908.0,343194183749.0,38743400841.0
Lợi nhuận sau thuế chưa phân phối,Băng Cân đối kế toán riêng > Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,421,595.861.887.947,569.294.272.621,(26.567.615.326),421.0,595861887947.0,569294272621.0,-26567615326.0
