row_label_raw,row_label_full,col_0,31/12/2020 > Giá gốc,31/12/2020 > Giá trị hợp lý,31/12/2020 > Dự phòng,01/01/2020 > Giá gốc,01/01/2020 > Giá trị hợp lý,01/01/2020 > Dự phòng (đã điều chỉnh),numeric__31/12/2020 > Giá gốc,numeric__31/12/2020 > Giá trị hợp lý,numeric__31/12/2020 > Dự phòng,numeric__01/01/2020 > Giá gốc,numeric__01/01/2020 > Giá trị hợp lý,numeric__01/01/2020 > Dự phòng (đã điều chỉnh)
,,,VND,VND,VND,VND,VND,VND,,,,,,
Đầu tư vào Công ty con,Đầu tư vào Công ty con,Đầu tư vào Công ty con,1.362.780.275.905,,(317.030.677.409),1.163.116.665.740,,(293.564.700.788),1362780275905.0,,-317030677409.0,1163116665740.0,,-293564700788.0
"- Công ty CP Viglacera Thăng Long (TLT)\( ^{(4,2)} \)","- Công ty CP Viglacera Thăng Long (TLT)\( ^{(4,2)} \)","- Công ty CP Viglacera Thăng Long (TLT)\( ^{(4,2)} \)",21.420.000.000,34.272.000.000,-,21.420.000.000,69.258.000.000,-,21420000000.0,34272000000.0,,21420000000.0,69258000000.0,
"- Công ty CP Viglacera Tiên Sơn (VIT)\( ^{(4,3)} \)","- Công ty CP Viglacera Tiên Sơn (VIT)\( ^{(4,3)} \)","- Công ty CP Viglacera Tiên Sơn (VIT)\( ^{(4,3)} \)",89.698.800.000,156.136.500.000,-,89.698.800.000,146.191.500.000,-,89698800000.0,156136500000.0,,89698800000.0,146191500000.0,
"- Công ty CP Viglacera Hà Nội (VIH)\( ^{(4,2)} \)","- Công ty CP Viglacera Hà Nội (VIH)\( ^{(4,2)} \)","- Công ty CP Viglacera Hà Nội (VIH)\( ^{(4,2)} \)",28.560.000.000,27.132.000.000,-,28.560.000.000,31.701.600.000,-,28560000000.0,27132000000.0,,28560000000.0,31701600000.0,
"- Công ty CP Bê tông khí Viglacera\( ^{(4,1)} \)","- Công ty CP Bê tông khí Viglacera\( ^{(4,1)} \)","- Công ty CP Bê tông khí Viglacera\( ^{(4,1)} \)",62.200.000.000,,(62.200.000.000),62.200.000.000,,(62.200.000.000),62200000000.0,,-62200000000.0,62200000000.0,,-62200000000.0
"- Công ty CP Việt Trì Viglacera\( ^{(4,1)} \)","- Công ty CP Việt Trì Viglacera\( ^{(4,1)} \)","- Công ty CP Việt Trì Viglacera\( ^{(4,1)} \)",29.999.243.861,,-,29.999.243.861,,-,29999243861.0,,,29999243861.0,,
"- Công ty CP Sử Viglacera Thanh Trì (TVA)\( ^{(4,2)} \)","- Công ty CP Sử Viglacera Thanh Trì (TVA)\( ^{(4,2)} \)","- Công ty CP Sử Viglacera Thanh Trì (TVA)\( ^{(4,2)} \)",39.898.908.925,60.444.160.000,-,39.898.908.925,79.332.960.000,-,39898908925.0,60444160000.0,,39898908925.0,79332960000.0,
"- Công ty CP Thương mại Viglacera\( ^{(4,1)} \)","- Công ty CP Thương mại Viglacera\( ^{(4,1)} \)","- Công ty CP Thương mại Viglacera\( ^{(4,1)} \)",22.171.173.381,,(2.523.549.528),22.171.173.381,,-,22171173381.0,,-2523549528.0,22171173381.0,,
"- Công ty CP Kính Viglacera Đáp Cầu (DSG)\( ^{(4,2)} \)","- Công ty CP Kính Viglacera Đáp Cầu (DSG)\( ^{(4,2)} \)","- Công ty CP Kính Viglacera Đáp Cầu (DSG)\( ^{(4,2)} \)",280.645.000.000,108.874.500.000,(225.373.697.340),280.645.000.000,617.419.000.000,(210.371.862.922),280645000000.0,108874500000.0,-225373697340.0,280645000000.0,617419000000.0,-210371862922.0
"- Công ty CP Viglacera Hạ Long (VHL)\( ^{(4,3)} \)","- Công ty CP Viglacera Hạ Long (VHL)\( ^{(4,3)} \)","- Công ty CP Viglacera Hạ Long (VHL)\( ^{(4,3)} \)",226.136.894.000,340.719.750.000,-,226.136.894.000,391.196.750.000,-,226136894000.0,340719750000.0,,226136894000.0,391196750000.0,
"- Công ty CP Bá Hiến (BHV)\( ^{(4,2)} \)","- Công ty CP Bá Hiến (BHV)\( ^{(4,2)} \)","- Công ty CP Bá Hiến (BHV)\( ^{(4,2)} \)",-,-,-,4.349.543.500,3.581.977.000,(4.349.543.500),,,,4349543500.0,3581977000.0,-4349543500.0
"- Công ty CP Viglacera Từ Liêm\( ^{(4,1)} \)","- Công ty CP Viglacera Từ Liêm\( ^{(4,1)} \)","- Công ty CP Viglacera Từ Liêm\( ^{(4,1)} \)",22.876.640.252,,(20.224.402.790),22.876.640.252,,(10.973.234.193),22876640252.0,,-20224402790.0,22876640252.0,,-10973234193.0
"- Công ty CP Viglacera Đông Anh (DAC)\( ^{(4,2)} \)","- Công ty CP Viglacera Đông Anh (DAC)\( ^{(4,2)} \)","- Công ty CP Viglacera Đông Anh (DAC)\( ^{(4,2)} \)",3.895.380.000,1.845.180.000,(1.462.421.439),3.895.380.000,3.997.890.000,(54.363.735),3895380000.0,1845180000.0,-1462421439.0,3895380000.0,3997890000.0,-54363735.0
"- Công ty CP Viglacera Hữu Hưng\( ^{(4,1)} \)","- Công ty CP Viglacera Hữu Hưng\( ^{(4,1)} \)","- Công ty CP Viglacera Hữu Hưng\( ^{(4,1)} \)",5.246.606.313,,(5.246.606.312),5.246.606.313,,(5.246.606.312),5246606313.0,,-5246606312.0,5246606313.0,,-5246606312.0
"- Công ty CP Viglacera Vân Hải\( ^{(4,1)} \)","- Công ty CP Viglacera Vân Hải\( ^{(4,1)} \)","- Công ty CP Viglacera Vân Hải\( ^{(4,1)} \)",281.981.631.563,,-,157.137.721.563,,-,281981631563.0,,,157137721563.0,,
"- Công ty CP Khoáng sản Viglacera (VIM)\( ^{(4,2)} \)","- Công ty CP Khoáng sản Viglacera (VIM)\( ^{(4,2)} \)","- Công ty CP Khoáng sản Viglacera (VIM)\( ^{(4,2)} \)",7.447.460.436,13.897.500.000,-,7.447.460.436,13.260.000.000,-,7447460436.0,13897500000.0,,7447460436.0,13260000000.0,
"- Công ty CP Bao bì và Má phanh Viglacera\( ^{(4,1)} \)","- Công ty CP Bao bì và Má phanh Viglacera\( ^{(4,1)} \)","- Công ty CP Bao bì và Má phanh Viglacera\( ^{(4,1)} \)",6.553.719.948,,-,6.553.719.948,,-,6553719948.0,,,6553719948.0,,
"- Công ty CP Tư vấn Viglacera\( ^{(4,1)} \)","- Công ty CP Tư vấn Viglacera\( ^{(4,1)} \)","- Công ty CP Tư vấn Viglacera\( ^{(4,1)} \)",2.823.344.712,,-,2.823.344.712,,(227.173.536),2823344712.0,,,2823344712.0,,-227173536.0
"- Công ty CP Vinafacade\( ^{(4,1)} \)","- Công ty CP Vinafacade\( ^{(4,1)} \)","- Công ty CP Vinafacade\( ^{(4,1)} \)",-,,-,2.753.256.335,,(141.916.590),,,,2753256335.0,,-141916590.0
"- Công ty CP Phát triển Khu công nghiệp Viglacera Yên Mỹ - Hưng Yên\( ^{(4,1)} \)","- Công ty CP Phát triển Khu công nghiệp Viglacera Yên Mỹ - Hưng Yên\( ^{(4,1)} \)","- Công ty CP Phát triển Khu công nghiệp Viglacera Yên Mỹ - Hưng Yên\( ^{(4,1)} \)",30.000.000.000,,-,30.000.000.000,,-,30000000000.0,,,30000000000.0,,
"- Công ty ViMariel - CTCP\( ^{(4,1)} \)","- Công ty ViMariel - CTCP\( ^{(4,1)} \)","- Công ty ViMariel - CTCP\( ^{(4,1)} \)",198.079.457.214,,-,116.156.957.214,,-,198079457214.0,,,116156957214.0,,
"- Công ty CP CHAO Viglacera\( ^{(4,1)} \)","- Công ty CP CHAO Viglacera\( ^{(4,1)} \)","- Công ty CP CHAO Viglacera\( ^{(4,1)} \)",3.146.015.300,,-,3.146.015.300,,-,3146015300.0,,,3146015300.0,,
