row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Quỹ đầu tư phát triển,Lợi nhuận chưa phân phối,Cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận chưa phân phối,numeric__Cộng
,,,VND,VND,VND,VND,VND,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,4.483.500.000.000,931.212.247.586,89.987.989.240,458.389.698.986,5.963.089.935.812,4483500000000.0,931212247586.0,89987989240.0,458389698986.0,5963089935812.0
Lãi trong năm trước,Lãi trong năm trước,Lãi trong năm trước,-,-,-,595.861.887.947,595.861.887.947,,,,595861887947.0,595861887947.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,(448.350.000.000),(448.350.000.000),,,,-448350000000.0,-448350000000.0
Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,-,-,-,(35.277.901.764),(35.277.901.764),,,,-35277901764.0,-35277901764.0
Dự phòng phải trả về quỹ hỗ trợ sắp xếp doanh nghiệp,Dự phòng phải trả về quỹ hỗ trợ sắp xếp doanh nghiệp,Dự phòng phải trả về quỹ hỗ trợ sắp xếp doanh nghiệp,-,-,-,(1.329.412.548),(1.329.412.548),,,,-1329412548.0,-1329412548.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,4.483.500.000.000,931.212.247.586,89.987.989.240,569.294.272.621,6.073.994.509.447,4483500000000.0,931212247586.0,89987989240.0,569294272621.0,6073994509447.0
Lãi trong năm nay,Lãi trong năm nay,Lãi trong năm nay,-,-,-,606.461.155.044,606.461.155.044,,,,606461155044.0,606461155044.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,(493.185.000.000),(493.185.000.000),,,,-493185000000.0,-493185000000.0
Trích lập quỹ đầu tư phát triển,Trích lập quỹ đầu tư phát triển,Trích lập quỹ đầu tư phát triển,-,-,44.270.882.809,(44.270.882.809),-,,,44270882809.0,-44270882809.0,
Trích Quỹ khen thưởng phúc lợi và Quỹ thưởng ban điều hành,Trích Quỹ khen thưởng phúc lợi và Quỹ thưởng ban điều hành,Trích Quỹ khen thưởng phúc lợi và Quỹ thưởng ban điều hành,-,-,-,(40.585.050.000),(40.585.050.000),,,,-40585050000.0,-40585050000.0
Dự phòng phải trả về quỹ hỗ trợ sắp xếp doanh nghiệp,Dự phòng phải trả về quỹ hỗ trợ sắp xếp doanh nghiệp,Dự phòng phải trả về quỹ hỗ trợ sắp xếp doanh nghiệp,-,-,-,(7.708.124.114),(7.708.124.114),,,,-7708124114.0,-7708124114.0
Hạch toán tăng khoản phải nộp về cổ phần hóa theo phê duyệt vốn nhà nước tại thời điểm bàn giao sang công ty cổ phần,Hạch toán tăng khoản phải nộp về cổ phần hóa theo phê duyệt vốn nhà nước tại thời điểm bàn giao sang công ty cổ phần,Hạch toán tăng khoản phải nộp về cổ phần hóa theo phê duyệt vốn nhà nước tại thời điểm bàn giao sang công ty cổ phần,-,-,-,(10.112.831.024),(10.112.831.024),,,,-10112831024.0,-10112831024.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,4.483.500.000.000,931.212.247.586,134.258.872.049,579.893.539.718,6.128.864.659.353,4483500000000.0,931212247586.0,134258872049.0,579893539718.0,6128864659353.0
