row_label_raw,row_label_full,col_0,Số phải thuđầu năm,Số phải nộpđầu năm(dã điều chỉnh),Số phải nộptrong năm,Số đã thựcnộp trong năm,Số phải thucuối năm,Số phải nộpcuối năm,numeric__Số phải thuđầu năm,numeric__Số phải nộpđầu năm(dã điều chỉnh),numeric__Số phải nộptrong năm,numeric__Số đã thựcnộp trong năm,numeric__Số phải thucuối năm,numeric__Số phải nộpcuối năm
,,,VND,VND,VND,VND,VND,VND,,,,,,
Thuế giá trị gia tăng,Thuế giá trị gia tăng,Thuế giá trị gia tăng,45.372.485.661,5.353.597.795,147.881.607.784,139.510.572.624,47.237.101.207,15.589.248.501,45372485661.0,5353597795.0,147881607784.0,139510572624.0,47237101207.0,15589248501.0
"Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",4.992.496,-,1.258.584.328,1.253.591.832,-,-,4992496.0,,1258584328.0,1253591832.0,,
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,169.923.163,50.642.796.679,146.345.808.274,128.385.944.464,169.923.163,68.602.660.489,169923163.0,50642796679.0,146345808274.0,128385944464.0,169923163.0,68602660489.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,-,4.191.532.998,18.166.590.148,17.153.222.988,-,5.204.900.158,,4191532998.0,18166590148.0,17153222988.0,,5204900158.0
Thuế tài nguyên,Thuế tài nguyên,Thuế tài nguyên,164.088.079,830.880,2.088.781.216,1.922.827.278,-,2.696.739,164088079.0,830880.0,2088781216.0,1922827278.0,,2696739.0
Thuế nhà đất và tiền thuê đất,Thuế nhà đất và tiền thuê đất,Thuế nhà đất và tiền thuê đất,263.005.045,-,18.824.623.721,18.621.763.771,60.145.095,-,263005045.0,,18824623721.0,18621763771.0,60145095.0,
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,63.000.000,1.388.144.729,5.084.839.930,5.848.761.930,64.000.000,625.222.729,63000000.0,1388144729.0,5084839930.0,5848761930.0,64000000.0,625222729.0
"Các khoản phí, lệ phí và các khoản phải nộp khác","Các khoản phí, lệ phí và các khoản phải nộp khác","Các khoản phí, lệ phí và các khoản phải nộp khác",5.620.091,30.920.920.872,(720.580.418),33.228.623,-,30.161.491.740,5620091.0,30920920872.0,-720580418.0,33228623.0,,30161491740.0
,,,46.043.114.535,92.497.823.953,338.930.254.983,312.729.913.510,47.531.169.465,120.186.220.356,46043114535.0,92497823953.0,338930254983.0,312729913510.0,47531169465.0,120186220356.0
