row_label_raw,row_label_full,Bên liên quan,Môi quan hệ,Nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Môi quan hệ,numeric__Nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,,,,
Công ty TNHH Đầu tư và Du lịch Hoa Sen,Phải thu ngắn hạn của khách hàng > Công ty TNHH Đầu tư và Du lịch Hoa Sen,Công ty TNHH Đầu tư và Du lịch Hoa Sen,Bên liên quan,Bán hàng,27.493.400,1.331.786.050,,,27493400.0,1331786050.0
Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,,,,
Công ty TNHH Đầu tư và Du lịch Hoa Sen,Trả trước cho người bán ngắn hạn > Công ty TNHH Đầu tư và Du lịch Hoa Sen,Công ty TNHH Đầu tư và Du lịch Hoa Sen,Bên liên quan,Tam ứng,4.616.198.665,8.292.978.936,,,4616198665.0,8292978936.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,,,,
Ông Hoàng Đức Huy,Phải thu ngắn hạn khác > Ông Hoàng Đức Huy,Ông Hoàng Đức Huy,Phó Tổng Giám đốc,Ứng trước tiền mua đất,90.183.227.000,90.183.227.000,,,90183227000.0,90183227000.0
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,,,,
Công ty TNHH Đầu tư và Du lịch Hoa Sen,Phải trả người bán ngắn hạn > Công ty TNHH Đầu tư và Du lịch Hoa Sen,Công ty TNHH Đầu tư và Du lịch Hoa Sen,Bên liên quan,Mua nguyên vật liệu,11.258.405.597,137.943.985,,,11258405597.0,137943985.0
Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,,,,
Công ty TNHH Đầu tư và Du lịch Hoa Sen,Người mua trả tiền trước ngắn hạn > Công ty TNHH Đầu tư và Du lịch Hoa Sen,Công ty TNHH Đầu tư và Du lịch Hoa Sen,Bên liên quan,Mua nguyên vật liệu,26.413.121.165,2.418.576.540,,,26413121165.0,2418576540.0
Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,,,,
DNTN Kinh doanh Bất động sản Hương Sen,Người mua trả tiền trước ngắn hạn > DNTN Kinh doanh Bất động sản Hương Sen,DNTN Kinh doanh Bất động sản Hương Sen,Bên liên quan,Trả lại tiền mua đất,1.000.000.000,1.000.000.000,,,1000000000.0,1000000000.0
Công ty TNHH Đầu tư và Du lịch Hoa Sen,Người mua trả tiền trước ngắn hạn > Công ty TNHH Đầu tư và Du lịch Hoa Sen,Công ty TNHH Đầu tư và Du lịch Hoa Sen,Bên liên quan,Khác,2.300.000,-,,,2300000.0,
,,,,,1.002.300.000,1.000.000.000,,,1002300000.0,1000000000.0
