row_label_raw,row_label_full,Ông Lê Vũ Nam,Trường ban,col_2,numeric__Trường ban,numeric__col_2
Ông Lê Đình Hạnh,Ông Lê Đình Hạnh,Ông Lê Đình Hạnh,Thành viên,,,
Bà Đồng Thị Thanh Hằng,Bà Đồng Thị Thanh Hằng,Bà Đồng Thị Thanh Hằng,Thành viên,bố nhiệm ngày 18 tháng 1 năm 2016,,
