row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm vi tính,VND Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm vi tính,numeric__VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,318.932.354.995,1.818.224.781,320.750.579.776,318932354995.0,1818224781.0,320750579776.0
Tăng trong năm,Nguyên giá: > Tăng trong năm,Tăng trong năm,2.190.431.270,-,2.190.431.270,2190431270.0,,2190431270.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,321.122.786.265,1.818.224.781,322.941.011.046,321122786265.0,1818224781.0,322941011046.0
Trong đó:Dã hao mòn hết,Nguyên giá: > Trong đó:Dã hao mòn hết,Trong đó:Dã hao mòn hết,456.396.144,1.734.584.781,2.190.980.925,456396144.0,1734584781.0,2190980925.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,(24.310.153.352),(1.781.479.051),(26.091.632.403),-24310153352.0,-1781479051.0,-26091632403.0
Hao mòn trong năm,Giá trị hao mòn lũy kế: > Hao mòn trong năm,Hao mòn trong năm,(3.517.751.646),(20.157.130),(3.537.908.776),-3517751646.0,-20157130.0,-3537908776.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,(27.827.904.998),(1.801.636.181),(29.629.541.179),-27827904998.0,-1801636181.0,-29629541179.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,294.622.201.643,36.745.730,294.658.947.373,294622201643.0,36745730.0,294658947373.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,293.294.881.267,16.588.600,293.311.469.867,293294881267.0,16588600.0,293311469867.0
