row_label_raw,row_label_full,Bên liên quan,Môi quan hệ,Nghiệp vụ,Năm nay,VNDNăm trước,numeric__Môi quan hệ,numeric__Nghiệp vụ,numeric__Năm nay,numeric__VNDNăm trước
Công ty TNHH Đầu tư và Du lịch Hoa Sen,Công ty TNHH Đầu tư và Du lịch Hoa Sen,Công ty TNHH Đầu tư và Du lịch Hoa Sen,Bên liên quan,Bán hàng hóa,2.430.784.452.088,1.160.917.402.701,,,2430784452088.0,1160917402701.0
Công ty TNHH Đầu tư và Du lịch Hoa Sen,Công ty TNHH Đầu tư và Du lịch Hoa Sen,Công ty TNHH Đầu tư và Du lịch Hoa Sen,Bên liên quan,Mua hàng hóa,929.183.348.655,184.654.533.072,,,929183348655.0,184654533072.0
Công ty TNHH Đầu tư và Du lịch Hoa Sen,Công ty TNHH Đầu tư và Du lịch Hoa Sen,Công ty TNHH Đầu tư và Du lịch Hoa Sen,Bên liên quan,Mua dịch vụ,4.772.436.591,3.948.581.818,,,4772436591.0,3948581818.0
Công ty TNHH Đầu tư và Du lịch Hoa Sen,Công ty TNHH Đầu tư và Du lịch Hoa Sen,Công ty TNHH Đầu tư và Du lịch Hoa Sen,Bên liên quan,Cung cấp dịch vụ,1.400.609.480,731.699.999,,,1400609480.0,731699999.0
Công ty TNHH Đầu tư và Du lịch Hoa Sen,Công ty TNHH Đầu tư và Du lịch Hoa Sen,Công ty TNHH Đầu tư và Du lịch Hoa Sen,Bên liên quan,Bán tài sản,2.617.000.000,521.000.000,,,2617000000.0,521000000.0
Công ty TNHH Đầu tư và Du lịch Hoa Sen,Công ty TNHH Đầu tư và Du lịch Hoa Sen,Công ty TNHH Đầu tư và Du lịch Hoa Sen,Bên liên quan,Mua tài sản,656.000.000,-,,,656000000.0,
Công ty TNHH Đầu tư và Du lịch Hoa Sen,Công ty TNHH Đầu tư và Du lịch Hoa Sen,Công ty TNHH Đầu tư và Du lịch Hoa Sen,Bên liên quan,Phí vận chuyển,27.949.504.004,45.327.000,,,27949504004.0,45327000.0
Công ty TNHH Đầu tư và Du lịch Hoa Sen,Công ty TNHH Đầu tư và Du lịch Hoa Sen,Công ty TNHH Đầu tư và Du lịch Hoa Sen,Bên liên quan,Bán hàng khác,67.464.274,4.929.228,,,67464274.0,4929228.0
Công ty TNHH Đầu tư và Du lịch Hoa Sen,Công ty TNHH Đầu tư và Du lịch Hoa Sen,Công ty TNHH Đầu tư và Du lịch Hoa Sen,Bên liên quan,Mua hàng khác,189.184.542,441.051.660,,,189184542.0,441051660.0
Công ty Cổ phần Tiếp vận và Cảng Quốc tế Hoa Sen – Gemadept,Công ty Cổ phần Tiếp vận và Cảng Quốc tế Hoa Sen – Gemadept,Công ty Cổ phần Tiếp vận và Cảng Quốc tế Hoa Sen – Gemadept,Công ty liên kết,Góp vốn,-,7.495.846.500,,,,7495846500.0
Quỹ Đầu tư Chứng khoán Y tế Bản Việt,Quỹ Đầu tư Chứng khoán Y tế Bản Việt,Quỹ Đầu tư Chứng khoán Y tế Bản Việt,Bên liên quan,Thu hồi vốn,4.367.000.000,4.273.000.000,,,4367000000.0,4273000000.0
DNTN Kinh doanh Bất động sản Hương Sen,DNTN Kinh doanh Bất động sản Hương Sen,DNTN Kinh doanh Bất động sản Hương Sen,Bên liên quan,Trả lại quyền sử dụng đất đã bản,-,60.000.000.000,,,,60000000000.0
