row_label_raw,row_label_full,col_0,Số đầu năm(dã được trình bày trước đây),Ánh hưởng củaphân loại lại,VND > Số đầu năm(được trình bày lại),numeric__Số đầu năm(dã được trình bày trước đây),numeric__Ánh hưởng củaphân loại lại,numeric__VND > Số đầu năm(được trình bày lại)
BẢNG CẦN ĐỐI KẾ TOÁN HỢP NHẤT,BẢNG CẦN ĐỐI KẾ TOÁN HỢP NHẤT,BẢNG CẦN ĐỐI KẾ TOÁN HỢP NHẤT,BẢNG CẦN ĐỐI KẾ TOÁN HỢP NHẤT,BẢNG CẦN ĐỐI KẾ TOÁN HỢP NHẤT,BẢNG CẦN ĐỐI KẾ TOÁN HỢP NHẤT,,,
Phải thu về cho vay ngắn hạn,BẢNG CẦN ĐỐI KẾ TOÁN HỢP NHẤT > Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,-,400.000.000,400.000.000,,400000000.0,400000000.0
Phải thu ngắn hạn khác,BẢNG CẦN ĐỐI KẾ TOÁN HỢP NHẤT > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,128.763.462.383,16.376.390.661,145.139.853.044,128763462383.0,16376390661.0,145139853044.0
Tài sản ngắn hạn khác,BẢNG CẦN ĐỐI KẾ TOÁN HỢP NHẤT > Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,16.776.390.661,(16.776.390.661),-,16776390661.0,-16776390661.0,
Phải thu về cho vay dài hạn,BẢNG CẦN ĐỐI KẾ TOÁN HỢP NHẤT > Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,-,25.000.000.000,25.000.000.000,,25000000000.0,25000000000.0
Phải thu dài hạn khác,BẢNG CẦN ĐỐI KẾ TOÁN HỢP NHẤT > Phải thu dài hạn khác,Phải thu dài hạn khác,25.000.000.000,(21.414.450.099),3.585.549.901,25000000000.0,-21414450099.0,3585549901.0
Tài sản dài hạn khác,BẢNG CẦN ĐỐI KẾ TOÁN HỢP NHẤT > Tài sản dài hạn khác,Tài sản dài hạn khác,3.585.549.901,(3.585.549.901),-,3585549901.0,-3585549901.0,
Quỹ dự phòng tài chính,BẢNG CẦN ĐỐI KẾ TOÁN HỢP NHẤT > Quỹ dự phòng tài chính,Quỹ dự phòng tài chính,8.525.313.060,(8.525.313.060),-,8525313060.0,-8525313060.0,
Quỹ đầu tư phát triển,BẢNG CẦN ĐỐI KẾ TOÁN HỢP NHẤT > Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,-,8.525.313.060,8.525.313.060,,8525313060.0,8525313060.0
,,,,,VND,,,
,,,Năm trước(dã được trình bày trước đây),Ánh hưởng củaphân loại lại,Năm trước(được trình bày lại),,,
