row_label_raw,row_label_full,Doanh thu bán hàng và cung cấp dịch vụ,17.469.894.530.725,21.104.688.084,17.490.999.218.809,numeric__17.469.894.530.725,numeric__21.104.688.084,numeric__17.490.999.218.809
Thu nhập khác,Thu nhập khác,Thu nhập khác,64.879.565.362,(48.802.928.943),16.076.636.419,64879565362.0,-48802928943.0,16076636419.0
Chi phí khác,Chi phí khác,Chi phí khác,(41.011.033.124),27.698.240.859,(13.312.792.265),-41011033124.0,27698240859.0,-13312792265.0
