row_label_raw,row_label_full,col_0,"Nhà xưởng, vật kiến trúc","Máy móc, thiết bị",Phương tiện vận tải,Thiết bị văn phòng,Tài sản khác,VND Tổng cộng,"numeric__Nhà xưởng, vật kiến trúc","numeric__Máy móc, thiết bị",numeric__Phương tiện vận tải,numeric__Thiết bị văn phòng,numeric__Tài sản khác,numeric__VND Tổng cộng
Nguyên giả:,Nguyên giả:,Nguyên giả:,Nguyên giả:,Nguyên giả:,Nguyên giả:,Nguyên giả:,Nguyên giả:,Nguyên giả:,,,,,,
Số đầu năm,Nguyên giả: > Số đầu năm,Số đầu năm,973.370.477.968,3.931.062.601.094,305.738.512.240,15.040.698.414,21.536.555.260,5.246.748.844.976,973370477968.0,3931062601094.0,305738512240.0,15040698414.0,21536555260.0,5246748844976.0
Mua mới trong năm,Nguyên giả: > Mua mới trong năm,Mua mới trong năm,500.730.727,118.828.009.263,63.081.448.815,10.549.099.870,-,192.959.288.675,500730727.0,118828009263.0,63081448815.0,10549099870.0,,192959288675.0
Đầu tư xây dựng cơ bản hoàn thành,Nguyên giả: > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,236.112.405.952,633.860.559.099,42.602.804.741,-,-,912.575.769.792,236112405952.0,633860559099.0,42602804741.0,,,912575769792.0
Mua lại từ tài sản cố định thuê tài chính,Nguyên giả: > Mua lại từ tài sản cố định thuê tài chính,Mua lại từ tài sản cố định thuê tài chính,-,4.730.267.558,-,-,-,4.730.267.558,,4730267558.0,,,,4730267558.0
"Thanh lý, nhượng bản","Nguyên giả: > Thanh lý, nhượng bản","Thanh lý, nhượng bản",(1.445.715.000),(19.701.665.328),(1.007.223.391),(127.049.979),(66.579.000),(22.348.232.698),-1445715000.0,-19701665328.0,-1007223391.0,-127049979.0,-66579000.0,-22348232698.0
Phân loại lại,Nguyên giả: > Phân loại lại,Phân loại lại,(188.011.399),111.107.647,-,-,-,(76.903.752),-188011399.0,111107647.0,,,,-76903752.0
Số cuối năm,Nguyên giả: > Số cuối năm,Số cuối năm,1.208.349.888.248,4.668.890.879.333,410.415.542.405,25.462.748.305,21.469.976.260,6.334.589.034.551,1208349888248.0,4668890879333.0,410415542405.0,25462748305.0,21469976260.0,6334589034551.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,,
Đã khấu hao hết,Trong đó: > Đã khấu hao hết,Đã khấu hao hết,11.649.725.109,300.600.770.995,21.007.563.177,1.262.869.898,1.072.290.294,335.593.219.473,11649725109.0,300600770995.0,21007563177.0,1262869898.0,1072290294.0,335593219473.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(239.889.118.823),(1.511.366.510.993),(74.598.448.933),(5.481.053.880),(12.379.799.470),(1.843.714.932.099),-239889118823.0,-1511366510993.0,-74598448933.0,-5481053880.0,-12379799470.0,-1843714932099.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(59.427.200.715),(393.752.227.747),(38.168.970.503),(3.694.246.602),(3.016.055.469),(498.058.701.036),-59427200715.0,-393752227747.0,-38168970503.0,-3694246602.0,-3016055469.0,-498058701036.0
Mua lại từ tài sản cố định thuê tài chính,Giá trị khấu hao lũy kế: > Mua lại từ tài sản cố định thuê tài chính,Mua lại từ tài sản cố định thuê tài chính,-,(1.142.422.984),-,-,-,(1.142.422.984),,-1142422984.0,,,,-1142422984.0
"Thanh lý, nhượng bản","Giá trị khấu hao lũy kế: > Thanh lý, nhượng bản","Thanh lý, nhượng bản",913.215.000,17.558.339.560,383.391.291,127.049.979,66.579.000,19.048.574.830,913215000.0,17558339560.0,383391291.0,127049979.0,66579000.0,19048574830.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(298.403.104.538),(1.888.702.822.164),(112.384.028.145),(9.048.250.503),(15.329.275.939),(2.323.867.481.289),-298403104538.0,-1888702822164.0,-112384028145.0,-9048250503.0,-15329275939.0,-2323867481289.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,733.481.359.145,2.419.696.090.101,231.140.063.307,9.559.644.534,9.156.755.790,3.403.033.912.877,733481359145.0,2419696090101.0,231140063307.0,9559644534.0,9156755790.0,3403033912877.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,909.946.783.710,2.780.188.057.169,298.031.514.260,16.414.497.802,6.140.700.321,4.010.721.553.262,909946783710.0,2780188057169.0,298031514260.0,16414497802.0,6140700321.0,4010721553262.0
