row_label_raw,row_label_full,Ngân hàng > Ngân hàng TMCP Việt Nam Thịnh Vượng > Vay USD,Số cuối nămVND > Ngân hàng TMCP Việt Nam Thịnh Vượng > 67.886.940.450,Ký hạn > Ngân hàng TMCP Việt Nam Thịnh Vượng > Ngày 19 tháng 12năm 2016,"Lãi suất(%/năm) > Ngân hàng TMCP Việt Nam Thịnh Vượng > 1,4",Hình thứcđảm bảo > Ngân hàng TMCP Việt Nam Thịnh Vượng > Tín chấp,numeric__Số cuối nămVND > Ngân hàng TMCP Việt Nam Thịnh Vượng > 67.886.940.450,numeric__Ký hạn > Ngân hàng TMCP Việt Nam Thịnh Vượng > Ngày 19 tháng 12năm 2016,"numeric__Lãi suất(%/năm) > Ngân hàng TMCP Việt Nam Thịnh Vượng > 1,4",numeric__Hình thứcđảm bảo > Ngân hàng TMCP Việt Nam Thịnh Vượng > Tín chấp
Ngân hàng UOB - Chi nhánh Hồ Chí Minh,Ngân hàng UOB - Chi nhánh Hồ Chí Minh,Ngân hàng UOB - Chi nhánh Hồ Chí Minh,Ngân hàng UOB - Chi nhánh Hồ Chí Minh,Ngân hàng UOB - Chi nhánh Hồ Chí Minh,Ngân hàng UOB - Chi nhánh Hồ Chí Minh,Ngân hàng UOB - Chi nhánh Hồ Chí Minh,,,,
Vay VND,Ngân hàng UOB - Chi nhánh Hồ Chí Minh > Vay VND,Vay VND,69.453.200.475,Ngày 21 tháng 10năm 2016,"4,2",Hàng tồn kho,69453200475.0,,4.2,
Ngân hàng TMCP Ký thương Việt Nam,Ngân hàng TMCP Ký thương Việt Nam,Ngân hàng TMCP Ký thương Việt Nam,Ngân hàng TMCP Ký thương Việt Nam,Ngân hàng TMCP Ký thương Việt Nam,Ngân hàng TMCP Ký thương Việt Nam,Ngân hàng TMCP Ký thương Việt Nam,,,,
Vay VND,Ngân hàng TMCP Ký thương Việt Nam > Vay VND,Vay VND,117.003.997.774,Từ ngày 17 tháng 11năm 2016 đến ngày 22tháng 1 năm 2017,"Từ 4,4đến 4,5",Tín chấp,117003997774.0,,,
Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Vũng Tàu,Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Vũng Tàu,Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Vũng Tàu,Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Vũng Tàu,Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Vũng Tàu,Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Vũng Tàu,Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Vũng Tàu,,,,
Vay VND,Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Vũng Tàu > Vay VND,Vay VND,22.891.126.027,Ngày 27 tháng 10năm 2016,"4,5","Nhà xuống,vật kiến trúc vàmáy móc, thiết bị",22891126027.0,,4.5,
Ngân hàng TMCP Công thương Việt Nam - Chi nhánh KCN Phú Tài,Ngân hàng TMCP Công thương Việt Nam - Chi nhánh KCN Phú Tài,Ngân hàng TMCP Công thương Việt Nam - Chi nhánh KCN Phú Tài,Ngân hàng TMCP Công thương Việt Nam - Chi nhánh KCN Phú Tài,Ngân hàng TMCP Công thương Việt Nam - Chi nhánh KCN Phú Tài,Ngân hàng TMCP Công thương Việt Nam - Chi nhánh KCN Phú Tài,Ngân hàng TMCP Công thương Việt Nam - Chi nhánh KCN Phú Tài,,,,
Vay VND,Ngân hàng TMCP Công thương Việt Nam - Chi nhánh KCN Phú Tài > Vay VND,Vay VND,9.770.631.288,14 tháng 11năm 2016,"Từ 4,0đến 4,4",Tín chấp,9770631288.0,,,
Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Nghệ An,Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Nghệ An,Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Nghệ An,Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Nghệ An,Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Nghệ An,Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Nghệ An,Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Nghệ An,,,,
Vay VND,Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Nghệ An > Vay VND,Vay VND,91.922.967.558,Từ ngày 16 tháng 7năm 2016 đến ngày 30tháng 6 năm 2017,"4,5","Nhà xuống,vật kiến trúc vàmáy móc",91922967558.0,,4.5,
TỔNG CỘNG,Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Nghệ An > TỔNG CỘNG,TỔNG CỘNG,3.954.271.503.856,,,,3954271503856.0,,,
