row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Quỹ dự phòng tài chính,Lợi nhuận sau thuế chưa phân phối,Quỹ khác thuộc vốn chủ sở hữu,VND Tổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Quỹ dự phòng tài chính,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Quỹ khác thuộc vốn chủ sở hữu,numeric__VND Tổng cộng
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,,,
Số đầu năm(trình bày trước đây),Năm nay > Số đầu năm(trình bày trước đây),Số đầu năm(trình bày trước đây),1.007.907.900.000,487.290.470.363,(52.113.695.510),-,8.525.313.060,1.452.507.322.241,6.605.155.369,2.910.722.465.523,1007907900000.0,487290470363.0,-52113695510.0,,8525313060.0,1452507322241.0,6605155369.0,2910722465523.0
Số đầu năm(trình bày lại theo Thông tư 200 Thuyết minh số 30),Năm nay > Số đầu năm(trình bày lại theo Thông tư 200 Thuyết minh số 30),Số đầu năm(trình bày lại theo Thông tư 200 Thuyết minh số 30),1.007.907.900.000,487.290.470.363,(52.113.695.510),8.525.313.060,-,1.452.507.322.241,6.605.155.369,2.910.722.465.523,1007907900000.0,487290470363.0,-52113695510.0,8525313060.0,,1452507322241.0,6605155369.0,2910722465523.0
Lợi nhuận thuần trong năm,Năm nay > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,1.504.193.443.099,-,1.504.193.443.099,,,,,,1504193443099.0,,1504193443099.0
Trả cổ tức bằng cổ phiếu (*),Năm nay > Trả cổ tức bằng cổ phiếu (*),Trả cổ tức bằng cổ phiếu (*),957.490.390.000,-,-,-,-,(957.490.390.000),-,-,957490390000.0,,,,,-957490390000.0,,
Cổ tức công bố,Năm nay > Cổ tức công bố,Cổ tức công bố,-,-,-,-,-,(327.567.667.500),-,(327.567.667.500),,,,,,-327567667500.0,,-327567667500.0
Mua cổ phiếu quỹ,Năm nay > Mua cổ phiếu quỹ,Mua cổ phiếu quỹ,-,-,(508.729),-,-,-,-,(508.729),,,-508729.0,,,,,-508729.0
Tái phát hành cổ phiếu quỹ (**),Năm nay > Tái phát hành cổ phiếu quỹ (**),Tái phát hành cổ phiếu quỹ (**),-,64.281.463.158,52.114.204.239,-,-,-,-,116.395.667.397,,64281463158.0,52114204239.0,,,,,116395667397.0
Trích lập quỹ khen thường và phúc lợi,Năm nay > Trích lập quỹ khen thường và phúc lợi,Trích lập quỹ khen thường và phúc lợi,-,-,-,-,-,(26.114.981.672),-,(26.114.981.672),,,,,,-26114981672.0,,-26114981672.0
Trích lập quỹ khác thuộc vốn chủ sở hữu,Năm nay > Trích lập quỹ khác thuộc vốn chủ sở hữu,Trích lập quỹ khác thuộc vốn chủ sở hữu,-,-,-,-,-,(29.379.354.381),29.379.354.381,-,,,,,,-29379354381.0,29379354381.0,
Hoàn nhập quỹ,Năm nay > Hoàn nhập quỹ,Hoàn nhập quỹ,-,-,-,(8.525.313.060),-,8.525.313.060,-,-,,,,-8525313060.0,,8525313060.0,,
Sử dụng quỹ khác thuộc vốn chủ sở hữu,Năm nay > Sử dụng quỹ khác thuộc vốn chủ sở hữu,Sử dụng quỹ khác thuộc vốn chủ sở hữu,-,-,-,-,-,-,(29.199.934.080),(29.199.934.080),,,,,,,-29199934080.0,-29199934080.0
Thường hoàn thành kê hoạch (***),Năm nay > Thường hoàn thành kê hoạch (***),Thường hoàn thành kê hoạch (***),-,-,-,-,-,(21.902.000.000),-,(21.902.000.000),,,,,,-21902000000.0,,-21902000000.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,1.965.398.290.000,551.571.933.521,-,-,-,1.602.771.684.847,6.784.575.670,4.126.526.484.038,1965398290000.0,551571933521.0,,,,1602771684847.0,6784575670.0,4126526484038.0
