row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc,Máy móc và thiết bị,Phương tiện vận tải,Thiết bị văn phòng,Tài sản cổ định hữu hình khác,Tổng,numeric__Nhà cửa và vật kiến trúc,numeric__Máy móc và thiết bị,numeric__Phương tiện vận tải,numeric__Thiết bị văn phòng,numeric__Tài sản cổ định hữu hình khác,numeric__Tổng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,18.212.620.397.056,48.855.211.153.486,320.725.283.179,234.095.038.363,2.136.764.694.834,69.759.416.566.918,18212620397056.0,48855211153486.0,320725283179.0,234095038363.0,2136764694834.0,69759416566918.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,346.912.311,6.053.545.917,12.824.966.721,3.906.164.966,220.000.000,23.351.589.915,346912311.0,6053545917.0,12824966721.0,3906164966.0,220000000.0,23351589915.0
Đầu tư xây dựng cơ bản hoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,20.775.166.227,26.303.051.496,-,1.463.202.238,-,48.541.419.961,20775166227.0,26303051496.0,,1463202238.0,,48541419961.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(1.043.756.182),(1.079.970.857),(1.717.190.585),-,(3.840.917.624),,-1043756182.0,-1079970857.0,-1717190585.0,,-3840917624.0
Phân loại lại,NGUYÊN GIÁ > Phân loại lại,Phân loại lại,(826.863.976),826.863.976,-,-,-,-,-826863976.0,826863976.0,,,,
Tăng/(giảm) khác,NGUYÊN GIÁ > Tăng/(giảm) khác,Tăng/(giảm) khác,(24.329.767.545),(16.309.124),-,-,-,(24.346.076.669),-24329767545.0,-16309124.0,,,,-24346076669.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,18.208.585.844.073,48.887.334.549.569,332.470.279.043,237.747.214.982,2.136.984.694.834,69.803.122.582.501,18208585844073.0,48887334549569.0,332470279043.0,237747214982.0,2136984694834.0,69803122582501.0
GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÔN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,7.765.600.367.236,31.815.387.474.012,263.263.635.872,168.302.578.141,623.589.822.612,40.636.143.877.873,7765600367236.0,31815387474012.0,263263635872.0,168302578141.0,623589822612.0,40636143877873.0
Trích khấu hao vào chi phí trong năm,GIÁ TRỊ HAO MÔN LỦY KẾ > Trích khấu hao vào chi phí trong năm,Trích khấu hao vào chi phí trong năm,797.802.364.259,1.886.424.531.085,13.833.853.632,19.031.403.681,89.691.503.589,2.806.783.656.246,797802364259.0,1886424531085.0,13833853632.0,19031403681.0,89691503589.0,2806783656246.0
