row_label_raw,row_label_full,CHỈ TIÊU,CHỈ TIÊU_1,Mã số,Thuyết minh,Năm nay,Năm trước,numeric__CHỈ TIÊU_1,numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước
1.,1.,1.,Doanh thu bán hàng và cung cấp dịch vụ,01,26,28.329.357.578.690,28.224.118.055.975,,1.0,26.0,28329357578690.0,28224118055975.0
2.,2.,2.,Các khoản giảm trừ doanh thu,02,,-,-,,2.0,,,
3.,3.,3.,Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),10,,28.329.357.578.690,28.224.118.055.975,,10.0,,28329357578690.0,28224118055975.0
4.,4.,4.,Giá vốn hàng bản và cung cấp dịch vụ,11,27,25.625.106.577.337,24.498.013.951.665,,11.0,27.0,25625106577337.0,24498013951665.0
5.,5.,5.,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),20,,2.704.251.001.353,3.726.104.104.310,,20.0,,2704251001353.0,3726104104310.0
6.,6.,6.,Doanh thu hoạt động tài chính,21,29,543.578.060.404,445.221.020.562,,21.0,29.0,543578060404.0,445221020562.0
7.,7.,7.,Chi phí tài chính,22,30,729.647.124.365,591.786.538.077,,22.0,30.0,729647124365.0,591786538077.0
,,,- Trong đó: Chi phí lãi vay,23,,564.748.639.578,437.526.336.797,,23.0,,564748639578.0,437526336797.0
8.,8.,8.,Phản lãi trong công ty liên kết,24,,40.125.091.093,53.221.920.714,,24.0,,40125091093.0,53221920714.0
9.,9.,9.,Chi phí quản lý doanh nghiệp,26,31,1.268.124.055.600,867.603.382.318,,26.0,31.0,1268124055600.0,867603382318.0
10.,10.,10.,Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)+24-26),30,,1.290.182.972.885,2.765.157.125.191,,30.0,,1290182972885.0,2765157125191.0
11.,11.,11.,Thu nhập khác,31,32,162.091.186.750,67.138.158.695,,31.0,32.0,162091186750.0,67138158695.0
12.,12.,12.,Chi phí khác,32,32,10.206.125.321,23.061.110.546,,32.0,32.0,10206125321.0,23061110546.0
13.,13.,13.,Lợi nhuận khác (40=31-32),40,32,151.885.061.429,44.077.048.149,,40.0,32.0,151885061429.0,44077048149.0
14.,14.,14.,Tổng lợi nhuận kế toán trước thuế (50=30+40),50,,1.442.068.034.314,2.809.234.173.340,,50.0,,1442068034314.0,2809234173340.0
15.,15.,15.,Chi phí thuế thu nhập doanh nghiệp hiện hành,51,33,234.905.255.681,240.765.852.700,,51.0,33.0,234905255681.0,240765852700.0
16.,16.,16.,Chi phí thuế thu nhập doanh nghiệp hoãn lại,52,33,(75.779.362.785),15.539.750.493,,52.0,33.0,-75779362785.0,15539750493.0
17.,17.,17.,Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),60,,1.282.942.141.418,2.552.928.570.147,,60.0,,1282942141418.0,2552928570147.0
,,,Lợi nhuận sau thuế của Công ty mẹ,61,,1.038.363.942.297,2.060.858.298.332,,61.0,,1038363942297.0,2060858298332.0
,,,Lợi nhuận sau thuế của cổ đông không kiểm soát,62,,244.578.199.121,492.070.271.815,,62.0,,244578199121.0,492070271815.0
18.,18.,18.,Lãi cơ bản trên cổ phiếu,70,34,443,815,,70.0,34.0,443.0,815.0
