row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ
,,,VND,VND,VND,VND,,,,
a. Các khoản phải trả người bán ngắn hạn,a. Các khoản phải trả người bán ngắn hạn,a. Các khoản phải trả người bán ngắn hạn,2.545.303.041.514,2.545.303.041.514,1.445.209.410.447,1.445.209.410.447,2545303041514.0,2545303041514.0,1445209410447.0,1445209410447.0
Tổng Công ty Lắp máy Việt Nam - CTCP,Tổng Công ty Lắp máy Việt Nam - CTCP,Tổng Công ty Lắp máy Việt Nam - CTCP,728.485.049.095,728.485.049.095,303.435.720.000,303.435.720.000,728485049095.0,728485049095.0,303435720000.0,303435720000.0
Tập đoàn Samsung C&T,Tập đoàn Samsung C&T,Tập đoàn Samsung C&T,729.131.176.221,729.131.176.221,-,-,729131176221.0,729131176221.0,,
Tập đoàn Công nghiệp Than - Khoáng sản Việt Nam,Tập đoàn Công nghiệp Than - Khoáng sản Việt Nam,Tập đoàn Công nghiệp Than - Khoáng sản Việt Nam,262.131.657.272,262.131.657.272,207.651.863.834,207.651.863.834,262131657272.0,262131657272.0,207651863834.0,207651863834.0
Siemens Engergy Global GmbH & Co. KG,Siemens Engergy Global GmbH & Co. KG,Siemens Engergy Global GmbH & Co. KG,184.739.861.336,184.739.861.336,13.246.076.994,13.246.076.994,184739861336.0,184739861336.0,13246076994.0,13246076994.0
Công ty General Electric Global Parts and Product GMBH,Công ty General Electric Global Parts and Product GMBH,Công ty General Electric Global Parts and Product GMBH,-,-,173.331.020.846,173.331.020.846,,,173331020846.0,173331020846.0
Công ty Cố phần Khoáng sản Đan Ka,Công ty Cố phần Khoáng sản Đan Ka,Công ty Cố phần Khoáng sản Đan Ka,-,-,85.301.097.331,85.301.097.331,,,85301097331.0,85301097331.0
Tập đoàn Diện lực Việt Nam,Tập đoàn Diện lực Việt Nam,Tập đoàn Diện lực Việt Nam,94.619.629.221,94.619.629.221,60.727.069.373,60.727.069.373,94619629221.0,94619629221.0,60727069373.0,60727069373.0
Tổng Công ty Cố phần Bảo hiểm Dầu khí Việt Nam PVI,Tổng Công ty Cố phần Bảo hiểm Dầu khí Việt Nam PVI,Tổng Công ty Cố phần Bảo hiểm Dầu khí Việt Nam PVI,15.442.236.395,15.442.236.395,15.437.206.988,15.437.206.988,15442236395.0,15442236395.0,15437206988.0,15437206988.0
Các nhà cung cấp khác,Các nhà cung cấp khác,Các nhà cung cấp khác,530.753.431.974,530.753.431.974,586.079.355.081,586.079.355.081,530753431974.0,530753431974.0,586079355081.0,586079355081.0
b. Phải trả người bán là các bên liên quan (chi tiết tại Thuyết minh số 37),b. Phải trả người bán là các bên liên quan (chi tiết tại Thuyết minh số 37),b. Phải trả người bán là các bên liên quan (chi tiết tại Thuyết minh số 37),13.401.899.425.629,13.401.899.425.629,5.901.189.321.226,5.901.189.321.226,13401899425629.0,13401899425629.0,5901189321226.0,5901189321226.0
,,,15.947.202.467.143,15.947.202.467.143,7.346.398.731.673,7.346.398.731.673,15947202467143.0,15947202467143.0,7346398731673.0,7346398731673.0
