row_label_raw,row_label_full,col_0,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,Số đầu năm > Tăng,Trong năm > Giảm,Trong năm > Chênh lệch tỷ giá,Trong năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ,numeric__Số đầu năm > Tăng,numeric__Trong năm > Giảm,numeric__Trong năm > Chênh lệch tỷ giá,numeric__Trong năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ
,,,VND,VND,VND,VND,VND,VND,VND,,,,,,,
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,4.650.912.451.340,4.650.912.451.340,16.685.891.217.499,16.470.791.850.361,-,4.866.011.818.478,4.866.011.818.478,4650912451340.0,4650912451340.0,16685891217499.0,16470791850361.0,,4866011818478.0,4866011818478.0
Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,834.803.878.808,834.803.878.808,690.375.175.735,887.496.897.815,2.897.111.104,640.579.267.832,640.579.267.832,834803878808.0,834803878808.0,690375175735.0,887496897815.0,2897111104.0,640579267832.0,640579267832.0
Trái phiếu phát hành đến hạn trả,Trái phiếu phát hành đến hạn trả,Trái phiếu phát hành đến hạn trả,149.500.000.000,149.500.000.000,500.000.000,150.000.000.000,-,-,-,149500000000.0,149500000000.0,500000000.0,150000000000.0,,,
,,,5.635.216.330.148,5.635.216.330.148,17.376.766.393.234,17.508.288.748.176,2.897.111.104,5.506.591.086.310,5.506.591.086.310,5635216330148.0,5635216330148.0,17376766393234.0,17508288748176.0,2897111104.0,5506591086310.0,5506591086310.0
