row_label_raw,row_label_full,col_0,CHỈ TIÊU,Mã số,Năm nay,Năm trước,numeric__CHỈ TIÊU,numeric__Mã số,numeric__Năm nay,numeric__Năm trước
III.,III.,III.,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,
1.,III. > 1.,1.,"Tiền thu từ phát hành có phiếu, nhận vốn góp của chủ sở hữu",31,81.900.000.000,-,,31.0,81900000000.0,
2.,III. > 2.,2.,Tiền thu từ đi vay,33,13.107.063.893.530,8.027.461.182.658,,33.0,13107063893530.0,8027461182658.0
3.,III. > 3.,3.,Tiền trả nợ gốc vay,34,(9.503.032.107.523),(7.583.104.003.982),,34.0,-9503032107523.0,-7583104003982.0
4.,III. > 4.,4.,"Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,(365.053.044.540),(198.870.914.499),,36.0,-365053044540.0,-198870914499.0
4.,III. > 4.,4.,Lưu chuyển tiền thuần từ hoạt động tài chính,40,3.320.878.741.467,245.486.264.177,,40.0,3320878741467.0,245486264177.0
4.,III. > 4.,4.,Lưu chuyển tiền thuần trong năm (50=20+30+40),50,187.591.543.342,28.040.632.300,,50.0,187591543342.0,28040632300.0
4.,III. > 4.,4.,Tiền và tương đương tiền đầu năm,60,8.251.731.998.519,8.223.693.034.528,,60.0,8251731998519.0,8223693034528.0
4.,III. > 4.,4.,Ảnh hưởng của thay đổi tỷ giả hối đoai quy đổi ngoại tệ,61,374.072.098,(1.668.309),,61.0,374072098.0,-1668309.0
4.,III. > 4.,4.,Tiền và tương đương tiền cuối năm (70=50+60+61),70,8.439.697.613.959,8.251.731.998.519,,70.0,8439697613959.0,8251731998519.0
