row_label_raw,row_label_full,col_0,Số đầu năm,Số phải nộp/bù trừ trong năm,Số đã nộptrong năm,Số cuối năm,numeric__Số đầu năm,numeric__Số phải nộp/bù trừ trong năm,numeric__Số đã nộptrong năm,numeric__Số cuối năm
,,,VND,VND,VND,VND,,,,
Thuế giá trị gia tăng,Thuế giá trị gia tăng,Thuế giá trị gia tăng,137.380.053.080,742.775.306.493,837.956.057.193,42.199.302.380,137380053080.0,742775306493.0,837956057193.0,42199302380.0
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,82.987.449.577,234.905.255.681,219.902.057.214,97.990.648.044,82987449577.0,234905255681.0,219902057214.0,97990648044.0
Thuế tài nguyên,Thuế tài nguyên,Thuế tài nguyên,15.539.736.342,170.798.798.818,173.321.809.374,13.016.725.786,15539736342.0,170798798818.0,173321809374.0,13016725786.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,6.713.560.106,62.351.772.093,61.425.185.402,7.640.146.797,6713560106.0,62351772093.0,61425185402.0,7640146797.0
Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,-,22.261.624.690,22.261.624.690,-,,22261624690.0,22261624690.0,
"Các khoản thuế, phí khác","Các khoản thuế, phí khác","Các khoản thuế, phí khác",7.596.244.595,163.401.284.560,160.363.468.498,10.634.060.657,7596244595.0,163401284560.0,160363468498.0,10634060657.0
,,,250.217.043.700,1.396.494.042.335,1.475.230.202.371,171.480.883.664,250217043700.0,1396494042335.0,1475230202371.0,171480883664.0
