row_label_raw,row_label_full,col_0,TÀI SẢN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__TÀI SẢN,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
A.,A.,A.,TÀI SẢN NGẮN HẠN,100,,29.041.954.766.360,24.925.080.975.647,,100.0,,29041954766360.0,24925080975647.0
I.,I.,I.,Tiền và các khoản tương đương tiền,110,4,8.439.697.613.959,8.251.731.998.519,,110.0,4.0,8439697613959.0,8251731998519.0
1.,1.,1.,Tiền,111,,689.471.208.936,509.653.505.974,,111.0,,689471208936.0,509653505974.0
2.,2.,2.,Các khoản tương đương tiền,112,,7.750.226.405.023,7.742.078.492.545,,112.0,,7750226405023.0,7742078492545.0
II.,II.,II.,Đầu tư tài chính ngắn hạn,120,5,2.390.860.369.713,1.649.811.786.170,,120.0,5.0,2390860369713.0,1649811786170.0
1.,1.,1.,Đầu tư nằm giữ đến ngày đáo hạn,123,,2.390.860.369.713,1.649.811.786.170,,123.0,,2390860369713.0,1649811786170.0
III.,III.,III.,Các khoản phải thu ngắn hạn,130,,14.560.455.738.875,12.537.524.330.624,,130.0,,14560455738875.0,12537524330624.0
1.,1.,1.,Phải thu ngắn hạn của khách hàng,131,6,12.710.473.335.096,9.767.631.705.491,,131.0,6.0,12710473335096.0,9767631705491.0
2.,2.,2.,Trả trước cho người bán ngắn hạn,132,7,1.274.052.578.149,2.074.496.619.929,,132.0,7.0,1274052578149.0,2074496619929.0
3.,3.,3.,Phải thu ngắn hạn khác,136,8,1.092.912.475.273,794.087.282.634,,136.0,8.0,1092912475273.0,794087282634.0
4.,4.,4.,Dự phòng phải thu ngắn hạn khó đòi,137,9,(516.982.649.643),(98.691.277.430),,137.0,9.0,-516982649643.0,-98691277430.0
IV.,IV.,IV.,Hàng tồn kho,140,10,2.167.403.571.132,2.085.774.441.788,,140.0,10.0,2167403571132.0,2085774441788.0
1.,1.,1.,Hàng tồn kho,141,,2.167.403.571.132,2.085.774.441.788,,141.0,,2167403571132.0,2085774441788.0
V.,V.,V.,Tài sản ngắn hạn khác,150,,1.483.537.472.681,400.238.418.546,,150.0,,1483537472681.0,400238418546.0
1.,1.,1.,Chi phí trả trước ngắn hạn,151,11,75.215.542.846,75.219.631.891,,151.0,11.0,75215542846.0,75219631891.0
2.,2.,2.,Thuế giá trị gia tăng được khấu trừ,152,,1.408.321.929.835,325.018.786.655,,152.0,,1408321929835.0,325018786655.0
B.,B.,B.,TÀI SẢN DÀI HẠN,200,,41.320.135.548.249,31.918.163.879.143,,200.0,,41320135548249.0,31918163879143.0
I.,I.,I.,Các khoản phải thu dài hạn,210,,442.027.000,402.027.000,,210.0,,442027000.0,402027000.0
1.,1.,1.,Phải thu dài hạn khác,216,8,442.027.000,402.027.000,,216.0,8.0,442027000.0,402027000.0
II.,II.,II.,Tài sản cố định,220,,26.401.678.076.837,29.155.161.436.660,,220.0,,26401678076837.0,29155161436660.0
1.,1.,1.,Tài sản cố định hữu hình,221,12,26.362.420.358.359,29.123.272.689.045,,221.0,12.0,26362420358359.0,29123272689045.0
,,,- Nguyên giá,222,,69.803.122.582.501,69.759.416.566.918,,222.0,,69803122582501.0,69759416566918.0
,,,- Giá trị hao mòn lũy kế,223,,(43.440.702.224.142),(40.636.143.877.873),,223.0,,-43440702224142.0,-40636143877873.0
2.,2.,2.,Tài sản cố định vô hình,227,13,39.257.718.478,31.888.747.615,,227.0,13.0,39257718478.0,31888747615.0
,,,- Nguyên giá,228,,103.936.732.947,94.746.108.727,,228.0,,103936732947.0,94746108727.0
,,,- Giá trị hao mòn lũy kế,229,,(64.679.014.469),(62.857.361.112),,229.0,,-64679014469.0,-62857361112.0
III.,III.,III.,Tài sản dở dang dài hạn,240,,9.031.969.199.854,935.634.370.310,,240.0,,9031969199854.0,935634370310.0
1.,1.,1.,Chi phí xây dựng cơ bản dở dang,242,14,9.031.969.199.854,935.634.370.310,,242.0,14.0,9031969199854.0,935634370310.0
IV.,IV.,IV.,Đầu tư tài chính dài hạn,250,,959.549.465.097,877.631.146.763,,250.0,,959549465097.0,877631146763.0
1.,1.,1.,Đầu tư vào công ty liên kết,252,5,584.970.165.224,503.051.846.890,,252.0,5.0,584970165224.0,503051846890.0
2.,2.,2.,Đầu tư góp vốn vào đơn vị khác,253,5,399.355.456.500,399.355.456.500,,253.0,5.0,399355456500.0,399355456500.0
3.,3.,3.,Dự phòng đầu tư tài chính dài hạn,254,5,(24.776.156.627),(24.776.156.627),,254.0,5.0,-24776156627.0,-24776156627.0
V.,V.,V.,Tài sản dài hạn khác,260,,4.926.496.779.461,949.334.898.410,,260.0,,4926496779461.0,949334898410.0
1.,1.,1.,Chi phí trả trước dài hạn,261,11,4.223.720.717.432,262.053.646.682,,261.0,11.0,4223720717432.0,262053646682.0
2.,2.,2.,Tài sản thuê thu nhập hoãn lại,262,15,76.335.415.657,,,262.0,15.0,76335415657.0,
3.,3.,3.,Thiết bị vật tư phụ tùng thay thế dài hạn,263,16,626.440.646.372,687.281.251.728,,263.0,16.0,626440646372.0,687281251728.0
,,,TỔNG CỘNG TÀI SẢN (270=100+200),270,,70.362.090.314.609,56.843.244.854.790,,270.0,,70362090314609.0,56843244854790.0
