row_label_raw,row_label_full,Lợi nhuận trong năm phân bổ cho các cổ đông sở hữu cổ phiếu phố thông (VND),Năm nay > 1.038.363.942.297,Năm trước(Trình bày lại) > 2.060.858.298.332,numeric__Năm nay > 1.038.363.942.297,numeric__Năm trước(Trình bày lại) > 2.060.858.298.332
Trừ: Số tiên trích Quỹ khen thưởng phúc lợi,Trừ: Số tiên trích Quỹ khen thưởng phúc lợi,Trừ: Số tiên trích Quỹ khen thưởng phúc lợi,-,(153.061.309.494),,-153061309494.0
Lợi nhuận để tính lãi cơ bản trên cổ phiếu (VND),Lợi nhuận để tính lãi cơ bản trên cổ phiếu (VND),Lợi nhuận để tính lãi cơ bản trên cổ phiếu (VND),1.038.363.942.297,1.907.796.988.838,1038363942297.0,1907796988838.0
Số bình quân gia quyền của cổ phiếu phố thông để tính lãi cơ bản trên cổ phiếu (cổ phiếu),Số bình quân gia quyền của cổ phiếu phố thông để tính lãi cơ bản trên cổ phiếu (cổ phiếu),Số bình quân gia quyền của cổ phiếu phố thông để tính lãi cơ bản trên cổ phiếu (cổ phiếu),2.341.871.600,2.341.871.600,2341871600.0,2341871600.0
Lãi cơ bản trên cổ phiếu (VND/cổ phiếu),Lãi cơ bản trên cổ phiếu (VND/cổ phiếu),Lãi cơ bản trên cổ phiếu (VND/cổ phiếu),443,815,443.0,815.0
