row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Vốn khác của chủ sở hữu,Chênh lệch đánh giá lại tài sản,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối (i),Lợi ích cổ đông không kiểm soát,Tổng cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Vốn khác của chủ sở hữu,numeric__Chênh lệch đánh giá lại tài sản,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối (i),numeric__Lợi ích cổ đông không kiểm soát,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,
Tại ngày 01 tháng 01 năm 2022,Tại ngày 01 tháng 01 năm 2022,Tại ngày 01 tháng 01 năm 2022,23.418.716.000.000,(274.807.025),225.720.372.645,(191.305.728.000),2.174.558.130.932,3.010.430.220.648,2.487.533.521.393,31.125.377.710.593,23418716000000.0,-274807025.0,225720372645.0,-191305728000.0,2174558130932.0,3010430220648.0,2487533521393.0,31125377710593.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,-,2.060.858.298.332,492.070.271.815,2.552.928.570.147,,,,,,2060858298332.0,492070271815.0,2552928570147.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,-,1.468.716.088.814,(1.468.716.088.814),-,-,,,,,1468716088814.0,-1468716088814.0,,
"Trích quỹ khen thưởng, phúc lợi, quỹ thưởng viên chức quản lý","Trích quỹ khen thưởng, phúc lợi, quỹ thưởng viên chức quản lý","Trích quỹ khen thưởng, phúc lợi, quỹ thưởng viên chức quản lý",-,-,-,-,-,(182.154.978.177),(15.004.238.223),(197.159.216.400),,,,,,-182154978177.0,-15004238223.0,-197159216400.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,-,-,-,(199.582.415.850),(199.582.415.850),,,,,,,-199582415850.0,-199582415850.0
Tăng/(Giảm) khác,Tăng/(Giảm) khác,Tăng/(Giảm) khác,-,-,-,-,(91.080.554),41.546.706,(64.612.305),(114.146.153),,,,,-91080554.0,41546706.0,-64612305.0,-114146153.0
Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,23.418.716.000.000,(274.807.025),225.720.372.645,(191.305.728.000),3.643.183.139.192,3.420.458.998.695,2.764.952.526.830,33.281.450.502.337,23418716000000.0,-274807025.0,225720372645.0,-191305728000.0,3643183139192.0,3420458998695.0,2764952526830.0,33281450502337.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,-,1.038.363.942.297,244.578.199.121,1.282.942.141.418,,,,,,1038363942297.0,244578199121.0,1282942141418.0
Trích quỹ đầu tư phát triển (ii),Trích quỹ đầu tư phát triển (ii),Trích quỹ đầu tư phát triển (ii),-,-,-,-,396.176.559.571,(396.176.559.571),-,-,,,,,396176559571.0,-396176559571.0,,
"Tam trích quỹ khen thưởng, phúc lợi, quỹ thưởng viên chức quản lý (ii)","Tam trích quỹ khen thưởng, phúc lợi, quỹ thưởng viên chức quản lý (ii)","Tam trích quỹ khen thưởng, phúc lợi, quỹ thưởng viên chức quản lý (ii)",-,-,-,-,-,(153.061.259.069),(17.904.893.506),(170.966.152.575),,,,,,-153061259069.0,-17904893506.0,-170966152575.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,-,-,-,(367.690.547.917),(367.690.547.917),,,,,,,-367690547917.0,-367690547917.0
Nhận thêm vốn góp trong năm,Nhận thêm vốn góp trong năm,Nhận thêm vốn góp trong năm,-,-,-,-,-,-,81.900.000.000,81.900.000.000,,,,,,,81900000000.0,81900000000.0
Ảnh hưởng do thay đổi tỷ lệ sở hữu công ty con,Ảnh hưởng do thay đổi tỷ lệ sở hữu công ty con,Ảnh hưởng do thay đổi tỷ lệ sở hữu công ty con,-,-,-,-,-,1.275.001.243,(1.275.001.243),-,,,,,,1275001243.0,-1275001243.0,
Tăng/(Giảm) khác,Tăng/(Giảm) khác,Tăng/(Giảm) khác,-,-,-,-,-,11.794.384.157,(1.156.500),11.793.227.657,,,,,,11794384157.0,-1156500.0,11793227657.0
Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,23.418.716.000.000,(274.807.025),225.720.372.645,(191.305.728.000),4.039.359.698.763,3.922.654.507.752,2.704.559.126.785,34.119.429.170.920,23418716000000.0,-274807025.0,225720372645.0,-191305728000.0,4039359698763.0,3922654507752.0,2704559126785.0,34119429170920.0
