row_label_raw,row_label_full,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Cho năm kết thúc ngày 31 tháng 12 năm 2015,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > ĐồngNghìn VND,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > FluoritNghìn VND,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > VonframNghìn VND,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Các bộ phậnkhácNghìn VND,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Tổng cộngNghìn VND,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > ĐồngNghìn VND,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > FluoritNghìn VND,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > VonframNghìn VND,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Các bộ phậnkhácNghìn VND,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Tổng cộngNghìn VND
Chi tiêu vốn,Chi tiêu vốn,Chi tiêu vốn,-,-,565.635.939,-,565.635.939,,,565635939.0,,565635939.0
Chi tiêu vốn không phân bổ,Chi tiêu vốn không phân bổ,Chi tiêu vốn không phân bổ,,,,,1.434.630.676,,,,,1434630676.0
Khấu hao tài sản cố định hữu hình,Khấu hao tài sản cố định hữu hình,Khấu hao tài sản cố định hữu hình,12.011.214,62.165.939,62.974.002,19.273.104,156.424.259,12011214.0,62165939.0,62974002.0,19273104.0,156424259.0
Khấu hao tài sản cố định hữu hình không phân bổ,Khấu hao tài sản cố định hữu hình không phân bổ,Khấu hao tài sản cố định hữu hình không phân bổ,,,,,613.725.509,,,,,613725509.0
Khấu hao tài sản cố định vô hình không phân bổ,Khấu hao tài sản cố định vô hình không phân bổ,Khấu hao tài sản cố định vô hình không phân bổ,,,,,115.779.983,,,,,115779983.0
Cho năm kết thúc ngày 31 tháng 12 năm 2014,Cho năm kết thúc ngày 31 tháng 12 năm 2014,Cho năm kết thúc ngày 31 tháng 12 năm 2014,ĐồngNghìn VND,FluoritNghìn VND,VonframNghìn VND,Các bộ phậnkhácNghìn VND,Tổng cộngNghìn VND,,,,,
Chi tiêu vốn,Cho năm kết thúc ngày 31 tháng 12 năm 2014 > Chi tiêu vốn,Chi tiêu vốn,-,-,655.146.475,-,655.146.475,,,655146475.0,,655146475.0
Chi tiêu vốn không phân bổ,Cho năm kết thúc ngày 31 tháng 12 năm 2014 > Chi tiêu vốn không phân bổ,Chi tiêu vốn không phân bổ,,,,,1.277.609.104,,,,,1277609104.0
Khấu hao tài sản cố định hữu hình,Cho năm kết thúc ngày 31 tháng 12 năm 2014 > Khấu hao tài sản cố định hữu hình,Khấu hao tài sản cố định hữu hình,9.728.510,34.791.410,43.196.181,6.521.646,94.237.747,9728510.0,34791410.0,43196181.0,6521646.0,94237747.0
Khấu hao tài sản cố định hữu hình không phân bổ,Cho năm kết thúc ngày 31 tháng 12 năm 2014 > Khấu hao tài sản cố định hữu hình không phân bổ,Khấu hao tài sản cố định hữu hình không phân bổ,,,,,536.835.289,,,,,536835289.0
Khấu hao tài sản cố định vô hình không phân bổ,Cho năm kết thúc ngày 31 tháng 12 năm 2014 > Khấu hao tài sản cố định vô hình không phân bổ,Khấu hao tài sản cố định vô hình không phân bổ,,,,,172.304.125,,,,,172304125.0
