row_label_raw,row_label_full,col_0,1/1/2015 > Giá trị ghi sốNghìn VND,1/1/2015 > Số có khả năngtrả nợ'Nghìn VND,1/1/2015 > TăngNghìn VND,Biến động trong năm > Thanh toánNghìn VND,Biến động trong năm > Lỗ chênh lệchtỷ giá chưathực hiệnNghìn VND,Biến động trong năm > Phân loại lại từvay dài hạnNghìn VND,31/12/2015 > Giá trị ghi sốNghìn VND,31/12/2015 > Số có khả năngtrả nợ'Nghìn VND,numeric__1/1/2015 > Giá trị ghi sốNghìn VND,numeric__1/1/2015 > Số có khả năngtrả nợ'Nghìn VND,numeric__1/1/2015 > TăngNghìn VND,numeric__Biến động trong năm > Thanh toánNghìn VND,numeric__Biến động trong năm > Lỗ chênh lệchtỷ giá chưathực hiệnNghìn VND,numeric__Biến động trong năm > Phân loại lại từvay dài hạnNghìn VND,numeric__31/12/2015 > Giá trị ghi sốNghìn VND,numeric__31/12/2015 > Số có khả năngtrả nợ'Nghìn VND
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,1.305.713.481,1.305.713.481,2.785.677.753,(1.694.323.818),21.438.737,-,2.418.506.153,2.418.506.153,1305713481.0,1305713481.0,2785677753.0,-1694323818.0,21438737.0,,2418506153.0,2418506153.0
Vay dài hạn đến hạn trả(Thuyết minh (b)),Vay dài hạn đến hạn trả(Thuyết minh (b)),Vay dài hạn đến hạn trả(Thuyết minh (b)),36.330.845,36.330.845,2.730.555,(36.837.075),-,109.487.415,111.711.740,111.711.740,36330845.0,36330845.0,2730555.0,-36837075.0,,109487415.0,111711740.0,111711740.0
,,,1.342.044.326,1.342.044.326,2.788.408.308,(1.731.160.893),21.438.737,109.487.415,2.530.217.893,2.530.217.893,1342044326.0,1342044326.0,2788408308.0,-1731160893.0,21438737.0,109487415.0,2530217893.0,2530217893.0
Công ty:,Công ty:,Công ty:,Công ty:,Công ty:,Công ty:,Công ty:,Công ty:,Công ty:,Công ty:,Công ty:,,,,,,,,
,,,1/1/2015,1/1/2015,Biến động trong năm,Biến động trong năm,31/12/2015,31/12/2015,,,,,,,,,,
,,,Giá trị ghi sốNghìn VND,Số có khả năng trảnợ'Nghìn VND,TăngNghìn VND,Thanh toánNghìn VND,Giá trị ghi sốNghìn VND,Số có khả năngtrả nợ'Nghìn VND,,,,,,,,,,
Vay ngắn hạn,Công ty: > Vay ngắn hạn,Vay ngắn hạn,231.000.000,231.000.000,-,(231.000.000),-,-,,,231000000.0,231000000.0,,-231000000.0,,,,
Vay dài hạn đến hạn trả(Thuyết minh (b)),Công ty: > Vay dài hạn đến hạn trả(Thuyết minh (b)),Vay dài hạn đến hạn trả(Thuyết minh (b)),22.754.630,22.754.630,2.730.555,(25.485.185),-,-,,,22754630.0,22754630.0,2730555.0,-25485185.0,,,,
,,,253.754.630,253.754.630,2.730.555,(256.485.185),-,-,,,253754630.0,253754630.0,2730555.0,-256485185.0,,,,
