row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,Tập đoàn > 2015Nghìn VND,Tập đoàn > 2014Nghìn VNDĐã phân loại lại,Công ty > 2015Nghìn VND,Công ty > 2014Nghìn VND,numeric__Mã số,numeric__Thuyết minh,numeric__Tập đoàn > 2015Nghìn VND,numeric__Tập đoàn > 2014Nghìn VNDĐã phân loại lại,numeric__Công ty > 2015Nghìn VND,numeric__Công ty > 2014Nghìn VND
Lợi nhuận/(lỗ) kế toán trước thuế (50 = 30 + 40),Lợi nhuận/(lỗ) kế toán trước thuế (50 = 30 + 40),Lợi nhuận/(lỗ) kế toán trước thuế (50 = 30 + 40),50,,58.559.456,7.721.911,(39.883.120),(45.853.056),50.0,,58559456.0,7721911.0,-39883120.0,-45853056.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,51,28,113.525,(6.953.138),-,(8.501.985),51.0,28.0,113525.0,-6953138.0,,-8501985.0
Lợi ích thuế TNDN hoãn lại,Lợi ích thuế TNDN hoãn lại,Lợi ích thuế TNDN hoãn lại,52,28,(25.876.098),(20.978.465),-,-,52.0,28.0,-25876098.0,-20978465.0,,
Lợi nhuận/(lỗ) sau thuế TNDN (60 = 50 - 51 - 52),Lợi nhuận/(lỗ) sau thuế TNDN (60 = 50 - 51 - 52),Lợi nhuận/(lỗ) sau thuế TNDN (60 = 50 - 51 - 52),60,,84.322.029,35.653.514,(39.883.120),(37.351.071),60.0,,84322029.0,35653514.0,-39883120.0,-37351071.0
,,,,,Nghìn VND,Nghìn VND,,,,,,,,
Lợi nhuận thuần phân bổ cho:,Lợi nhuận thuần phân bổ cho:,Lợi nhuận thuần phân bổ cho:,Lợi nhuận thuần phân bổ cho:,Lợi nhuận thuần phân bổ cho:,Lợi nhuận thuần phân bổ cho:,Lợi nhuận thuần phân bổ cho:,Lợi nhuận thuần phân bổ cho:,Lợi nhuận thuần phân bổ cho:,,,,,,
Chủ sở hữu của Công ty,Lợi nhuận thuần phân bổ cho: > Chủ sở hữu của Công ty,Chủ sở hữu của Công ty,61,,152.135.747,46.676.208,,,61.0,,152135747.0,46676208.0,,
Cổ đông không kiểm soát,Lợi nhuận thuần phân bổ cho: > Cổ đông không kiểm soát,Cổ đông không kiểm soát,62,,(67.813.718),(11.022.694),,,62.0,,-67813718.0,-11022694.0,,
,,,,,VND,VND,,,,,,,,
Lãi trên cổ phiếu,Lãi trên cổ phiếu,Lãi trên cổ phiếu,Lãi trên cổ phiếu,Lãi trên cổ phiếu,Lãi trên cổ phiếu,Lãi trên cổ phiếu,Lãi trên cổ phiếu,Lãi trên cổ phiếu,,,,,,
Lãi cơ bản và lãi suy giảm trên mỗi cổ phần,Lãi trên cổ phiếu > Lãi cơ bản và lãi suy giảm trên mỗi cổ phần,Lãi cơ bản và lãi suy giảm trên mỗi cổ phần,,29,211,65,,,,29.0,211.0,65.0,,
