row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,Tập đoàn > 31/12/2015Nghìn VND,Tập đoàn > 1/1/2015Nghìn VNDĐã phân loại lại,Công ty > 31/12/2015Nghìn VND,Công ty > 1/1/2015Nghìn VND,numeric__Mã số,numeric__Thuyết minh,numeric__Tập đoàn > 31/12/2015Nghìn VND,numeric__Tập đoàn > 1/1/2015Nghìn VNDĐã phân loại lại,numeric__Công ty > 31/12/2015Nghìn VND,numeric__Công ty > 1/1/2015Nghìn VND
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,,,
Tài sản ngắn hạn(\( 100 = 110 + 120 + 130 + 140 + 150 \)),TÀI SẢN > Tài sản ngắn hạn(\( 100 = 110 + 120 + 130 + 140 + 150 \)),Tài sản ngắn hạn(\( 100 = 110 + 120 + 130 + 140 + 150 \)),100,,2.490.177.582,2.040.557.416,552.795,54.563.508,100.0,,2490177582.0,2040557416.0,552795.0,54563508.0
Tiền và các khoản tương đương tiền,TÀI SẢN > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,110,6,372.014.377,136.442.647,497.795,54.478.808,110.0,6.0,372014377.0,136442647.0,497795.0,54478808.0
Tiền,TÀI SẢN > Tiền,Tiền,111,,370.384.377,81.442.647,497.795,478.808,111.0,,370384377.0,81442647.0,497795.0,478808.0
Các khoản tương đương tiền,TÀI SẢN > Các khoản tương đương tiền,Các khoản tương đương tiền,112,,1.630.000,55.000.000,-,54.000.000,112.0,,1630000.0,55000000.0,,54000000.0
Đầu tư tài chính ngắn hạn,TÀI SẢN > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,120,,2.100.000,-,-,-,120.0,,2100000.0,,,
Đầu tư nắm giữ đến ngày đáo hạn,TÀI SẢN > Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,123,,2.100.000,-,-,-,123.0,,2100000.0,,,
Các khoản phải thu ngắn hạn,TÀI SẢN > Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,130,,747.080.504,982.814.499,55.000,84.700,130.0,,747080504.0,982814499.0,55000.0,84700.0
Phải thu khách hàng,TÀI SẢN > Phải thu khách hàng,Phải thu khách hàng,131,,241.247.245,594.764.354,-,-,131.0,,241247245.0,594764354.0,,
Trả trước cho người bán,TÀI SẢN > Trả trước cho người bán,Trả trước cho người bán,132,,75.767.652,107.716.633,-,-,132.0,,75767652.0,107716633.0,,
Các khoản phải thu khác,TÀI SẢN > Các khoản phải thu khác,Các khoản phải thu khác,136,7,432.350.795,280.333.512,55.000,84.700,136.0,7.0,432350795.0,280333512.0,55000.0,84700.0
Dự phòng các khoản phải thu ngắn hạn khó đòi,TÀI SẢN > Dự phòng các khoản phải thu ngắn hạn khó đòi,Dự phòng các khoản phải thu ngắn hạn khó đòi,137,,(2.285.188),-,-,-,137.0,,-2285188.0,,,
Hàng tồn kho,TÀI SẢN > Hàng tồn kho,Hàng tồn kho,140,8,1.084.398.392,653.671.833,-,-,140.0,8.0,1084398392.0,653671833.0,,
Hàng tồn kho,TÀI SẢN > Hàng tồn kho,Hàng tồn kho,141,,1.084.398.392,653.671.833,-,-,141.0,,1084398392.0,653671833.0,,
Tài sản ngắn hạn khác,TÀI SẢN > Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,150,,284.584.309,267.628.437,-,-,150.0,,284584309.0,267628437.0,,
Chỉ phí trả trước ngắn hạn,TÀI SẢN > Chỉ phí trả trước ngắn hạn,Chỉ phí trả trước ngắn hạn,151,,42.783.827,42.907.396,-,-,151.0,,42783827.0,42907396.0,,
Thuế giá trị gia tăng được khấu trừ,TÀI SẢN > Thuế giá trị gia tăng được khấu trừ,Thuế giá trị gia tăng được khấu trừ,152,,241.800.482,224.721.041,-,-,152.0,,241800482.0,224721041.0,,
