row_label_raw,row_label_full,31/12/2015,Giá trị ghi sốNghìn VND,Dòng tiềntheo hợp đồngNghìn VND,Trong vòng1 nămNghìn VND,1 – 2 nămNghìn VND,2 – 5 nămNghìn VND,numeric__Giá trị ghi sốNghìn VND,numeric__Dòng tiềntheo hợp đồngNghìn VND,numeric__Trong vòng1 nămNghìn VND,numeric__1 – 2 nămNghìn VND,numeric__2 – 5 nămNghìn VND
Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,607.699.275,607.699.275,607.699.275,-,-,607699275.0,607699275.0,607699275.0,,
Chi phí phải trả,Chi phí phải trả,Chi phí phải trả,503.025.519,503.025.519,503.025.519,-,-,503025519.0,503025519.0,503025519.0,,
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,2.418.506.153,2.484.419.137,2.484.419.137,-,-,2418506153.0,2484419137.0,2484419137.0,,
Phải trả dài hạn khác,Phải trả dài hạn khác,Phải trả dài hạn khác,1.581.573.288,1.581.573.288,-,1.581.573.288,-,1581573288.0,1581573288.0,,1581573288.0,
Vay và nợ dài hạn,Vay và nợ dài hạn,Vay và nợ dài hạn,8.285.129.729,11.612.582.731,553.736.104,882.952.361,10.175.894.266,8285129729.0,11612582731.0,553736104.0,882952361.0,10175894266.0
,,,13.395.933.964,16.789.299.950,4.148.880.035,2.464.525.649,10.175.894.266,13395933964.0,16789299950.0,4148880035.0,2464525649.0,10175894266.0
1/1/2015,1/1/2015,1/1/2015,Giá trị ghi sốNghìn VND,Dòng tiềntheo hợp đồngNghìn VND,Trong vòng1 nămNghìn VND,1 – 2 nămNghìn VND,2 – 5 nămNghìn VND,,,,,
Phải trả người bán và phải trả khác,1/1/2015 > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,511.080.317,511.080.317,511.080.317,-,-,511080317.0,511080317.0,511080317.0,,
Chi phí phải trả,1/1/2015 > Chi phí phải trả,Chi phí phải trả,584.583.698,584.583.698,584.583.698,-,-,584583698.0,584583698.0,584583698.0,,
Vay ngắn hạn,1/1/2015 > Vay ngắn hạn,Vay ngắn hạn,1.305.713.481,1.364.600.624,1.364.600.624,-,-,1305713481.0,1364600624.0,1364600624.0,,
Phải trả dài hạn khác,1/1/2015 > Phải trả dài hạn khác,Phải trả dài hạn khác,2.251.402.102,2.251.402.102,-,2.186.703.757,64.698.345,2251402102.0,2251402102.0,,2186703757.0,64698345.0
Vay và nợ dài hạn,1/1/2015 > Vay và nợ dài hạn,Vay và nợ dài hạn,7.388.637.051,10.843.345.006,562.112.409,1.053.731.741,9.227.500.856,7388637051.0,10843345006.0,562112409.0,1053731741.0,9227500856.0
,,,12.041.416.649,15.555.011.747,3.022.377.048,3.240.435.498,9.292.199.201,12041416649.0,15555011747.0,3022377048.0,3240435498.0,9292199201.0
