row_label_raw,row_label_full,col_0,Tập đoàn,Tập đoàn_1,Công ty,Công ty_1,numeric__Tập đoàn,numeric__Tập đoàn_1,numeric__Công ty,numeric__Công ty_1
,,,31/12/2015Nghìn VND,1/1/2015Nghìn VNDĐã phân loại lại,31/12/2015Nghìn VND,1/1/2015Nghìn VND,,,,
Phải thu ngắn hạn,Phải thu ngắn hạn,Phải thu ngắn hạn,Phải thu ngắn hạn,Phải thu ngắn hạn,Phải thu ngắn hạn,Phải thu ngắn hạn,,,,
Phải thu từ việc bán các khoản phải thu tiền bồi thường,Phải thu ngắn hạn > Phải thu từ việc bán các khoản phải thu tiền bồi thường,Phải thu từ việc bán các khoản phải thu tiền bồi thường,256.200.000,256.200.000,-,-,256200000.0,256200000.0,,
Phải thu ngắn hạn khác,Phải thu ngắn hạn > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,176.150.795,24.133.512,55.000,84.700,176150795.0,24133512.0,55000.0,84700.0
,,,432.350.795,280.333.512,55.000,84.700,432350795.0,280333512.0,55000.0,84700.0
Phải thu dài hạn,Phải thu dài hạn,Phải thu dài hạn,Phải thu dài hạn,Phải thu dài hạn,Phải thu dài hạn,Phải thu dài hạn,,,,
Chỉ phí đi vay - MRTN (a),Phải thu dài hạn > Chỉ phí đi vay - MRTN (a),Chỉ phí đi vay - MRTN (a),-,-,993.240.411,1.005.325.461,,,993240411.0,1005325461.0
Phải thu tiền bồi thường giải phóng mặt bằng từ UBND tinh Thái Nguyên (b),Phải thu dài hạn > Phải thu tiền bồi thường giải phóng mặt bằng từ UBND tinh Thái Nguyên (b),Phải thu tiền bồi thường giải phóng mặt bằng từ UBND tinh Thái Nguyên (b),1.383.085.565,1.383.085.565,-,-,1383085565.0,1383085565.0,,
Phải thu dài hạn khác,Phải thu dài hạn > Phải thu dài hạn khác,Phải thu dài hạn khác,18.222.848,38.261.125,-,-,18222848.0,38261125.0,,
,,,1.401.308.413,1.421.346.690,993.240.411,1.005.325.461,1401308413.0,1421346690.0,993240411.0,1005325461.0
