row_label_raw,row_label_full,Số lượng cổ phiếu đã phát hành đầu năm,2015 > 719.447.328,2014 > 698.580.899,numeric__2015 > 719.447.328,numeric__2014 > 698.580.899
Trong đó:,Trong đó:,Trong đó:,,,,
Cổ phiếu ưu đãi,Trong đó: > Cổ phiếu ưu đãi,Cổ phiếu ưu đãi,15.902.430,15.902.430,15902430.0,15902430.0
Cổ phiếu phổ thông (1),Trong đó: > Cổ phiếu phổ thông (1),Cổ phiếu phổ thông (1),703.544.898,682.678.469,703544898.0,682678469.0
Số cổ phiếu phổ thông Công ty phát hành trong năm (2),Trong đó: > Số cổ phiếu phổ thông Công ty phát hành trong năm (2),Số cổ phiếu phổ thông Công ty phát hành trong năm (2),-,15.178.525,,15178525.0
Số lượng cổ phiếu phổ thông bình quân gia quyền cuối năm [(1) + (2)],Trong đó: > Số lượng cổ phiếu phổ thông bình quân gia quyền cuối năm [(1) + (2)],Số lượng cổ phiếu phổ thông bình quân gia quyền cuối năm [(1) + (2)],703.544.898,697.856.994,703544898.0,697856994.0
