row_label_raw,row_label_full,col_0,Tập đoàn,Tập đoàn_1,Tập đoàn_2,Công ty,Công ty_1,numeric__Tập đoàn,numeric__Tập đoàn_1,numeric__Tập đoàn_2,numeric__Công ty,numeric__Công ty_1
,,,Mã số,2015Nghin VND,2014Nghin VND,2015Nghin VND,2014Nghin VND,,,,,
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,,
Tiền thu từ phát hành cổ phiếu,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền thu từ phát hành cổ phiếu,Tiền thu từ phát hành cổ phiếu,31,-,61.472.500,-,61.472.500,31.0,,61472500.0,,61472500.0
Tiền thu từ góp vốn của cổ đông,Tiền thu từ góp vốn của cổ đông,Tiền thu từ góp vốn của cổ đông,,,,,,,,,,
không kiểm soát vào một công ty con,Tiền thu từ góp vốn của cổ đông > không kiểm soát vào một công ty con,không kiểm soát vào một công ty con,31,-,388.889.872,-,-,31.0,,388889872.0,,
Tiền vay nhận được,Tiền thu từ góp vốn của cổ đông > Tiền vay nhận được,Tiền vay nhận được,33,11.247.836.312,8.257.995.390,-,-,33.0,11247836312.0,8257995390.0,,
Tiền chi trả chi phí giao dịch liên quan tới các khoản vay,Tiền thu từ góp vốn của cổ đông > Tiền chi trả chi phí giao dịch liên quan tới các khoản vay,Tiền chi trả chi phí giao dịch liên quan tới các khoản vay,34,(122.500.000),(232.767.449),-,-,34.0,-122500000.0,-232767449.0,,
Tiền chi trả các khoản vay,Tiền thu từ góp vốn của cổ đông > Tiền chi trả các khoản vay,Tiền chi trả các khoản vay,34,(8.874.377.630),(5.979.493.537),(611.053.812),-,34.0,-8874377630.0,-5979493537.0,-611053812.0,
Tiền chi trả nợ thuê tài chính,Tiền thu từ góp vốn của cổ đông > Tiền chi trả nợ thuê tài chính,Tiền chi trả nợ thuê tài chính,35,(11.351.889),(10.837.282),-,-,35.0,-11351889.0,-10837282.0,,
Tiền chi trả cổ tức,Tiền thu từ góp vốn của cổ đông > Tiền chi trả cổ tức,Tiền chi trả cổ tức,36,(52.070.918),(33.696.303),(52.070.918),(33.696.303),36.0,-52070918.0,-33696303.0,-52070918.0,-33696303.0
Lưu chuyển tiền thuần từ hoạt động tài chính,Tiền thu từ góp vốn của cổ đông > Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,40,2.187.535.875,2.451.563.191,(663.124.730),27.776.197,40.0,2187535875.0,2451563191.0,-663124730.0,27776197.0
Lưu chuyển tiền thuần trong năm (50 = 20 + 30 + 40),Tiền thu từ góp vốn của cổ đông > Lưu chuyển tiền thuần trong năm (50 = 20 + 30 + 40),Lưu chuyển tiền thuần trong năm (50 = 20 + 30 + 40),50,231.764.490,(15.177.244),(53.981.013),9.953.257,50.0,231764490.0,-15177244.0,-53981013.0,9953257.0
Tiền và các khoản tương đương tiền đầu năm,Tiền thu từ góp vốn của cổ đông > Tiền và các khoản tương đương tiền đầu năm,Tiền và các khoản tương đương tiền đầu năm,60,136.442.647,150.739.223,54.478.808,44.525.551,60.0,136442647.0,150739223.0,54478808.0,44525551.0
Ảnh hưởng của thay đổi tỷ giá hối đoái đối với tiền và các khoản tương đương tiền,Tiền thu từ góp vốn của cổ đông > Ảnh hưởng của thay đổi tỷ giá hối đoái đối với tiền và các khoản tương đương tiền,Ảnh hưởng của thay đổi tỷ giá hối đoái đối với tiền và các khoản tương đương tiền,61,3.807.240,880.668,-,-,61.0,3807240.0,880668.0,,
Tiền và các khoản tương đương tiền cuối năm (70 = 50 + 60 + 61)(Thuyết minh 6),Tiền thu từ góp vốn của cổ đông > Tiền và các khoản tương đương tiền cuối năm (70 = 50 + 60 + 61)(Thuyết minh 6),Tiền và các khoản tương đương tiền cuối năm (70 = 50 + 60 + 61)(Thuyết minh 6),70,372.014.377,136.442.647,497.795,54.478.808,70.0,372014377.0,136442647.0,497795.0,54478808.0
