row_label_raw,row_label_full,col_0,Trong nướcTriệu đồng,Nước ngoàiTriệu đồng,Tổng cộngTriệu đồng,numeric__Trong nướcTriệu đồng,numeric__Nước ngoàiTriệu đồng,numeric__Tổng cộngTriệu đồng
Tài sản tại ngày 31 tháng 12 năm 2021,Tài sản tại ngày 31 tháng 12 năm 2021,Tài sản tại ngày 31 tháng 12 năm 2021,Tài sản tại ngày 31 tháng 12 năm 2021,Tài sản tại ngày 31 tháng 12 năm 2021,Tài sản tại ngày 31 tháng 12 năm 2021,,,
Tiền gửi tại và cho vay các TCTD khác,Tài sản tại ngày 31 tháng 12 năm 2021 > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,20.815.971,515.367,21.331.338,20815971.0,515367.0,21331338.0
Chứng khoán kinh doanh - gộp,Tài sản tại ngày 31 tháng 12 năm 2021 > Chứng khoán kinh doanh - gộp,Chứng khoán kinh doanh - gộp,4.876.884,-,4.876.884,4876884.0,,4876884.0
Các công cụ tài chính phải sinh(Tổng giá trị giao dịch theo hợp đồng),Tài sản tại ngày 31 tháng 12 năm 2021 > Các công cụ tài chính phải sinh(Tổng giá trị giao dịch theo hợp đồng),Các công cụ tài chính phải sinh(Tổng giá trị giao dịch theo hợp đồng),173.588.437,-,173.588.437,173588437.0,,173588437.0
Cho vay khách hàng - gộp,Tài sản tại ngày 31 tháng 12 năm 2021 > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,68.983.645,354,68.983.999,68983645.0,354.0,68983999.0
Hoạt động mua nợ - gộp,Tài sản tại ngày 31 tháng 12 năm 2021 > Hoạt động mua nợ - gộp,Hoạt động mua nợ - gộp,153.234,-,153.234,153234.0,,153234.0
Chứng khoán đầu tư - gộp,Tài sản tại ngày 31 tháng 12 năm 2021 > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,17.328.218,-,17.328.218,17328218.0,,17328218.0
"Góp vốn, đầu tư dài hạn","Tài sản tại ngày 31 tháng 12 năm 2021 > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",376.936,-,376.936,376936.0,,376936.0
Công nợ tại ngày 31 tháng 12 năm 2021,Công nợ tại ngày 31 tháng 12 năm 2021,Công nợ tại ngày 31 tháng 12 năm 2021,Công nợ tại ngày 31 tháng 12 năm 2021,Công nợ tại ngày 31 tháng 12 năm 2021,Công nợ tại ngày 31 tháng 12 năm 2021,,,
Tiền gửi và vay các TCTD khác,Công nợ tại ngày 31 tháng 12 năm 2021 > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,25.335.867,2.079.178,27.415.045,25335867.0,2079178.0,27415045.0
Tiền gửi của khách hàng,Công nợ tại ngày 31 tháng 12 năm 2021 > Tiền gửi của khách hàng,Tiền gửi của khách hàng,67.635.483,213.892,67.849.375,67635483.0,213892.0,67849375.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTDchịu rủi ro","Công nợ tại ngày 31 tháng 12 năm 2021 > Vốn tài trợ, ủy thác đầu tư, cho vay TCTDchịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTDchịu rủi ro",102.652,455.909,558.561,102652.0,455909.0,558561.0
Phát hành giấy tờ có giá,Công nợ tại ngày 31 tháng 12 năm 2021 > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,11.405.930,-,11.405.930,11405930.0,,11405930.0
Cam kết ngoại bằng tạingày 31 tháng 12 năm 2021,Công nợ tại ngày 31 tháng 12 năm 2021 > Cam kết ngoại bằng tạingày 31 tháng 12 năm 2021,Cam kết ngoại bằng tạingày 31 tháng 12 năm 2021,355.405.077,-,355.405.077,355405077.0,,355405077.0
