row_label_raw,row_label_full,Số đầu năm,Năm nayTriệu đồng > Số đầu năm,Năm trướcTriệu đồng > Số đầu năm,numeric__Năm nayTriệu đồng > Số đầu năm,numeric__Năm trướcTriệu đồng > Số đầu năm
Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,17.068,41.175,17068.0,41175.0
Chứng khoán đầu tư giữ đến ngày đáo hạn(không bao gồm trái phiếu đặc biệt do VAMC phát hành),Chứng khoán đầu tư giữ đến ngày đáo hạn(không bao gồm trái phiếu đặc biệt do VAMC phát hành),Chứng khoán đầu tư giữ đến ngày đáo hạn(không bao gồm trái phiếu đặc biệt do VAMC phát hành),1.763,-,1763.0,
Trái phiếu đặc biệt do VAMC phát hành,Trái phiếu đặc biệt do VAMC phát hành,Trái phiếu đặc biệt do VAMC phát hành,278.343,364.146,278343.0,364146.0
,,,297.174,405.321,297174.0,405321.0
Chuyển sang dự phòng rủi ro cho vay khách hàng tất toán trái phiếu VAMC,Chuyển sang dự phòng rủi ro cho vay khách hàng tất toán trái phiếu VAMC,Chuyển sang dự phòng rủi ro cho vay khách hàng tất toán trái phiếu VAMC,(466.349),(280.493),-466349.0,-280493.0
Số trích lập/(hoàn nhập) trong năm,Số trích lập/(hoàn nhập) trong năm,Số trích lập/(hoàn nhập) trong năm,Số trích lập/(hoàn nhập) trong năm,Số trích lập/(hoàn nhập) trong năm,,
Chứng khoán đầu tư sẵn sàng để bán,Số trích lập/(hoàn nhập) trong năm > Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,47.297,(24.107),47297.0,-24107.0
Chứng khoán đầu tư giữ đến ngày đáo hạn(không bao gồm trái phiếu đặc biệt do VAMC phát hành),Số trích lập/(hoàn nhập) trong năm > Chứng khoán đầu tư giữ đến ngày đáo hạn(không bao gồm trái phiếu đặc biệt do VAMC phát hành),Chứng khoán đầu tư giữ đến ngày đáo hạn(không bao gồm trái phiếu đặc biệt do VAMC phát hành),5.250,1.763,5250.0,1763.0
Trái phiếu đặc biệt do VAMC phát hành,Số trích lập/(hoàn nhập) trong năm > Trái phiếu đặc biệt do VAMC phát hành,Trái phiếu đặc biệt do VAMC phát hành,433.448,194.690,433448.0,194690.0
,,,485.995,172.346,485995.0,172346.0
Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,,
Chứng khoán đầu tư sẵn sàng để bán,Số cuối năm > Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,64.365,17.068,64365.0,17068.0
Chứng khoán đầu tư giữ đến ngày đáo hạn(không bao gồm trái phiếu đặc biệt do VAMC phát hành),Số cuối năm > Chứng khoán đầu tư giữ đến ngày đáo hạn(không bao gồm trái phiếu đặc biệt do VAMC phát hành),Chứng khoán đầu tư giữ đến ngày đáo hạn(không bao gồm trái phiếu đặc biệt do VAMC phát hành),7.013,1.763,7013.0,1763.0
Trái phiếu đặc biệt do VAMC phát hành,Số cuối năm > Trái phiếu đặc biệt do VAMC phát hành,Trái phiếu đặc biệt do VAMC phát hành,245.442,278.343,245442.0,278343.0
,,,316.820,297.174,316820.0,297174.0
