row_label_raw,row_label_full,Bên liên quan,Các giao dịch,Năm nayTriệu đồng,Năm trướcTriệu đồng,numeric__Các giao dịch,numeric__Năm nayTriệu đồng,numeric__Năm trướcTriệu đồng
Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,,,
Hội đồng Quản trị,Các bên liên quan khác > Hội đồng Quản trị,Hội đồng Quản trị,Nhận tiền gửi không kỳ hạn,75.943,1.360.897,,75943.0,1360897.0
Hội đồng Quản trị,Các bên liên quan khác > Hội đồng Quản trị,Hội đồng Quản trị,Rút tiền gửi không kỳ hạn,(70.756),(1.360.379),,-70756.0,-1360379.0
Hội đồng Quản trị,Các bên liên quan khác > Hội đồng Quản trị,Hội đồng Quản trị,Nhận tiền gửi có kỳ hạn,3,24,,3.0,24.0
Hội đồng Quản trị,Các bên liên quan khác > Hội đồng Quản trị,Hội đồng Quản trị,Rút tiền gửi có kỳ hạn,(103),(319),,-103.0,-319.0
Hội đồng Quản trị,Các bên liên quan khác > Hội đồng Quản trị,Hội đồng Quản trị,Nhận tiền gửi tiết kiệmcó kỳ hạn,476,523.753,,476.0,523753.0
Hội đồng Quản trị,Các bên liên quan khác > Hội đồng Quản trị,Hội đồng Quản trị,Rút tiền gửi tiết kiệmcó kỳ hạn,(14.030),(211.702),,-14030.0,-211702.0
Hội đồng Quản trị,Các bên liên quan khác > Hội đồng Quản trị,Hội đồng Quản trị,Trả lãi tiền gửi,(1.780),(8.922),,-1780.0,-8922.0
Hội đồng Quản trị,Các bên liên quan khác > Hội đồng Quản trị,Hội đồng Quản trị,Thù lao và phụ cấp,(32.812),(29.066),,-32812.0,-29066.0
Ban Điều hành,Các bên liên quan khác > Ban Điều hành,Ban Điều hành,Nhận tiền gửi không kỳ hạn,32.056,60.467,,32056.0,60467.0
Ban Điều hành,Các bên liên quan khác > Ban Điều hành,Ban Điều hành,Rút tiền gửi không kỳ hạn,(32.101),(60.179),,-32101.0,-60179.0
Ban Điều hành,Các bên liên quan khác > Ban Điều hành,Ban Điều hành,Nhận tiền gửi có kỳ hạn,39,5.877,,39.0,5877.0
Ban Điều hành,Các bên liên quan khác > Ban Điều hành,Ban Điều hành,Rút tiền gửi có kỳ hạn,(1.045),(5.978),,-1045.0,-5978.0
Ban Điều hành,Các bên liên quan khác > Ban Điều hành,Ban Điều hành,Nhận tiền gửi tiết kiệmcó kỳ hạn,-,561,,,561.0
Ban Điều hành,Các bên liên quan khác > Ban Điều hành,Ban Điều hành,Rút tiền gửi tiết kiệmcó kỳ hạn,-,(720),,,-720.0
Ban Điều hành,Các bên liên quan khác > Ban Điều hành,Ban Điều hành,Thu gốc từ cho vay,-,152,,,152.0
Ban Điều hành,Các bên liên quan khác > Ban Điều hành,Ban Điều hành,Thu lãi từ cho vay,-,3,,,3.0
Ban Điều hành,Các bên liên quan khác > Ban Điều hành,Ban Điều hành,Trả lãi tiền gửi,(57),(271),,-57.0,-271.0
Ban Điều hành,Các bên liên quan khác > Ban Điều hành,Ban Điều hành,Trả lãi phát hành giấy tờcó giá,(4),(17),,-4.0,-17.0
Ban Điều hành,Các bên liên quan khác > Ban Điều hành,Ban Điều hành,Tiền lương và phụ cấp,(21.257),(13.953),,-21257.0,-13953.0
Ban Kiểm soát,Các bên liên quan khác > Ban Kiểm soát,Ban Kiểm soát,Nhận tiền gửi không kỳ hạn,9.964,19.864,,9964.0,19864.0
Ban Kiểm soát,Các bên liên quan khác > Ban Kiểm soát,Ban Kiểm soát,Rút tiền gửi không kỳ hạn,(10.887),(20.107),,-10887.0,-20107.0
Ban Kiểm soát,Các bên liên quan khác > Ban Kiểm soát,Ban Kiểm soát,Nhận tiền gửi có kỳ hạn,3,1.210,,3.0,1210.0
Ban Kiểm soát,Các bên liên quan khác > Ban Kiểm soát,Ban Kiểm soát,Rút tiền gửi có kỳ hạn,(821),(1.448),,-821.0,-1448.0
Ban Kiểm soát,Các bên liên quan khác > Ban Kiểm soát,Ban Kiểm soát,Nhận tiền gửi tiết kiệm có kỳ hạn,7,698,,7.0,698.0
Ban Kiểm soát,Các bên liên quan khác > Ban Kiểm soát,Ban Kiểm soát,Rút tiền gửi tiết kiệm có kỳ hạn,(80),(2.215),,-80.0,-2215.0
Ban Kiểm soát,Các bên liên quan khác > Ban Kiểm soát,Ban Kiểm soát,Trả lãi tiền gửi,(18),(160),,-18.0,-160.0
Ban Kiểm soát,Các bên liên quan khác > Ban Kiểm soát,Ban Kiểm soát,Thù lao và phụ cấp,(3.352),(3.187),,-3352.0,-3187.0
