row_label_raw,row_label_full,col_0,Tàu bay và động cor tàu bay VND,"Nhà cửa vật, kiến trúc VND","Máy móc, thiết bị VND","Phương tiện vận tải, truyền dẫn VND","Thiết bị, dụng cụ quản lý VND",Cộng VND,numeric__Tàu bay và động cor tàu bay VND,"numeric__Nhà cửa vật, kiến trúc VND","numeric__Máy móc, thiết bị VND","numeric__Phương tiện vận tải, truyền dẫn VND","numeric__Thiết bị, dụng cụ quản lý VND",numeric__Cộng VND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
01/01/2024,NGUYÊN GIÁ > 01/01/2024,01/01/2024,3.931.293.994.227,411.126.152.378,135.089.985.418,99.583.461.177,59.852.118.589,4.636.945.711.789,3931293994227.0,411126152378.0,135089985418.0,99583461177.0,59852118589.0,4636945711789.0
Mua trong năm,NGUYÊN GIÁ > Mua trong năm,Mua trong năm,5.117.198.073.156,2.555.721.821,23.431.827.294,240.233.593.046,9.485.198.317,5.392.904.413.634,5117198073156.0,2555721821.0,23431827294.0,240233593046.0,9485198317.0,5392904413634.0
Thanh lý trong năm,NGUYÊN GIÁ > Thanh lý trong năm,Thanh lý trong năm,(910.480.000.000),-,-,-,-,(910.480.000.000),-910480000000.0,,,,,-910480000000.0
31/12/2024,NGUYÊN GIÁ > 31/12/2024,31/12/2024,8.138.012.067.383,413.681.874.199,158.521.812.712,339.817.054.223,69.337.316.906,9.119.370.125.423,8138012067383.0,413681874199.0,158521812712.0,339817054223.0,69337316906.0,9119370125423.0
HAO MÔN LỦY KẾ,HAO MÔN LỦY KẾ,HAO MÔN LỦY KẾ,HAO MÔN LỦY KẾ,HAO MÔN LỦY KẾ,HAO MÔN LỦY KẾ,HAO MÔN LỦY KẾ,HAO MÔN LỦY KẾ,HAO MÔN LỦY KẾ,,,,,,
01/01/2024,HAO MÔN LỦY KẾ > 01/01/2024,01/01/2024,(476.921.405.603),(34.770.145.883),(66.187.859.291),(33.025.929.918),(36.384.550.639),(647.289.891.334),-476921405603.0,-34770145883.0,-66187859291.0,-33025929918.0,-36384550639.0,-647289891334.0
Khấu hao trong năm,HAO MÔN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,(237.527.506.791),(8.934.885.595),(16.137.744.622),(23.584.076.179),(6.081.944.963),(292.266.158.150),-237527506791.0,-8934885595.0,-16137744622.0,-23584076179.0,-6081944963.0,-292266158150.0
Thanh lý trong năm,HAO MÔN LỦY KẾ > Thanh lý trong năm,Thanh lý trong năm,103.721.021.970,-,-,-,-,103.721.021.970,103721021970.0,,,,,103721021970.0
31/12/2024,HAO MÔN LỦY KẾ > 31/12/2024,31/12/2024,(610.727.890.424),(43.705.031.478),(82.325.603.913),(56.610.006.097),(42.466.495.602),(835.835.027.514),-610727890424.0,-43705031478.0,-82325603913.0,-56610006097.0,-42466495602.0,-835835027514.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
01/01/2024,GIÁ TRỊ CÒN LẠI > 01/01/2024,01/01/2024,3.454.372.588.624,376.356.006.495,68.902.126.127,66.557.531.259,23.467.567.950,3.989.655.820.455,3454372588624.0,376356006495.0,68902126127.0,66557531259.0,23467567950.0,3989655820455.0
31/12/2024,GIÁ TRỊ CÒN LẠI > 31/12/2024,31/12/2024,7.527.284.176.959,369.976.842.721,76.196.208.799,283.207.048.126,26.870.821.304,8.283.535.097.909,7527284176959.0,369976842721.0,76196208799.0,283207048126.0,26870821304.0,8283535097909.0
