row_label_raw,row_label_full,NGUỒN VỐN,Mã số,Thuyết minh,31/12/2024VND,01/01/2024VND,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2024VND,numeric__01/01/2024VND
NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,300,,82.088.617.291.362,71.371.826.910.048,300.0,,82088617291362.0,71371826910048.0
Nợ ngắn hạn,Nợ ngắn hạn,Nợ ngắn hạn,310,,33.511.209.737.354,38.556.965.205.893,310.0,,33511209737354.0,38556965205893.0
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,311,16,6.200.221.338.860,8.865.645.481.094,311.0,16.0,6200221338860.0,8865645481094.0
Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,312,18,1.542.728.767.676,3.477.614.808.048,312.0,18.0,1542728767676.0,3477614808048.0
Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,313,17(b),274.134.365.852,452.084.031.628,313.0,,274134365852.0,452084031628.0
Phải trả người lao động,Phải trả người lao động,Phải trả người lao động,314,,193.807.912.443,150.937.867.472,314.0,,193807912443.0,150937867472.0
Chỉ phí phải trả ngắn hạn,Chỉ phí phải trả ngắn hạn,Chỉ phí phải trả ngắn hạn,315,19,2.408.414.085.237,1.869.136.935.648,315.0,19.0,2408414085237.0,1869136935648.0
Doanh thu chưa thực hiện ngắn hạn,Doanh thu chưa thực hiện ngắn hạn,Doanh thu chưa thực hiện ngắn hạn,318,20,4.253.048.070.041,3.600.018.592.599,318.0,20.0,4253048070041.0,3600018592599.0
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,319,21,3.814.617.129.838,3.919.992.255.753,319.0,21.0,3814617129838.0,3919992255753.0
Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,320,22,12.460.106.764.555,13.553.794.368.608,320.0,22.0,12460106764555.0,13553794368608.0
Dự phòng phải trả ngắn hạn,Dự phòng phải trả ngắn hạn,Dự phòng phải trả ngắn hạn,321,23,2.355.397.860.057,2.662.251.126.094,321.0,23.0,2355397860057.0,2662251126094.0
"Quỹ khen thưởng, phúc lợi","Quỹ khen thưởng, phúc lợi","Quỹ khen thưởng, phúc lợi",322,,8.733.442.795,5.489.738.949,322.0,,8733442795.0,5489738949.0
Nợ dài hạn,Nợ dài hạn,Nợ dài hạn,330,,48.577.407.554.008,32.814.861.704.155,330.0,,48577407554008.0,32814861704155.0
Phải trả dài hạn khác,Phải trả dài hạn khác,Phải trả dài hạn khác,337,21,845.708.231.615,5.681.293.908,337.0,21.0,845708231615.0,5681293908.0
Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,338,22,30.052.392.436.812,17.257.038.503.121,338.0,22.0,30052392436812.0,17257038503121.0
Thuế thu nhập doanh nghiệp hoãn lại phải trả,Thuế thu nhập doanh nghiệp hoãn lại phải trả,Thuế thu nhập doanh nghiệp hoãn lại phải trả,341,24,374.441.573.362,-,341.0,24.0,374441573362.0,
Dự phòng phải trả dài hạn,Dự phòng phải trả dài hạn,Dự phòng phải trả dài hạn,342,23,17.304.865.312.219,15.552.141.907.126,342.0,23.0,17304865312219.0,15552141907126.0
VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,400,25,5.834.691.179.688,4.557.916.011.846,400.0,25.0,5834691179688.0,4557916011846.0
Vốn chủ sở hữu,Vốn chủ sở hữu,Vốn chủ sở hữu,410,,5.834.691.179.688,4.557.916.011.846,410.0,,5834691179688.0,4557916011846.0
Vốn góp của chủ sở hữu,Vốn góp của chủ sở hữu,Vốn góp của chủ sở hữu,411,,5.416.113.340.000,5.416.113.340.000,411.0,,5416113340000.0,5416113340000.0
- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,5.416.113.340.000,5.416.113.340.000,,,5416113340000.0,5416113340000.0
Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,412,,247.483.117.899,247.483.117.899,412.0,,247483117899.0,247483117899.0
Lợi nhuận sau thuế chưa phân phối/(Lỗ sau thuế lũy kế),Lợi nhuận sau thuế chưa phân phối/(Lỗ sau thuế lũy kế),Lợi nhuận sau thuế chưa phân phối/(Lỗ sau thuế lũy kế),421,,171.094.721.789,(1.105.680.446.053),421.0,,171094721789.0,-1105680446053.0
- (Lỗ) sau thuế lũy kế của các năm trước,- (Lỗ) sau thuế lũy kế của các năm trước,- (Lỗ) sau thuế lũy kế của các năm trước,421a,,(1.105.680.446.053),(1.268.914.735.780),,,-1105680446053.0,-1268914735780.0
- LNST chưa phân phối năm nay,- LNST chưa phân phối năm nay,- LNST chưa phân phối năm nay,421b,,1.276.775.167.842,163.234.289.727,,,1276775167842.0,163234289727.0
TỔNG NGUỒN VỐN,TỔNG NGUỒN VỐN,TỔNG NGUỒN VỐN,440,,87.923.308.471.050,75.929.742.921.894,440.0,,87923308471050.0,75929742921894.0
