row_label_raw,row_label_full,Ngoại tê,31/12/2024,01/01/2024,numeric__31/12/2024,numeric__01/01/2024
AUD,AUD,AUD,6.916.382,4.368.771,6916382.0,4368771.0
CNY,CNY,CNY,43.582.010,212.308,43582010.0,212308.0
EUR,EUR,EUR,42.802,41.730,42802.0,41730.0
GBP,GBP,GBP,1.655,1.655,1655.0,1655.0
HKD,HKD,HKD,1.078.927,713.933,1078927.0,713933.0
IDR,IDR,IDR,11.357.542.489,113.645.890,11357542489.0,113645890.0
INR,INR,INR,244.643.835,141.158.821,244643835.0,141158821.0
JPY,JPY,JPY,180.958.118,40.239.376,180958118.0,40239376.0
KRW,KRW,KRW,1.813.009.682,4.400.704.971,1813009682.0,4400704971.0
MMK,MMK,MMK,2.864.650,2.864.650,2864650.0,2864650.0
MYR,MYR,MYR,1.135.970,1.135.970,1135970.0,1135970.0
SGD,SGD,SGD,597.454,200.547,597454.0,200547.0
THB,THB,THB,478.269,3.223.522,478269.0,3223522.0
TWD,TWD,TWD,233.100,267.300,233100.0,267300.0
USD,USD,USD,36.724.029,20.432.367,36724029.0,20432367.0
