row_label_raw,row_label_full,Bên cho vay,Loại tiền,Thời gian đáo hạn,31/12/2024,31/12/2024_1,01/01/2024,01/01/2024_1,numeric__Loại tiền,numeric__Thời gian đáo hạn,numeric__31/12/2024,numeric__31/12/2024_1,numeric__01/01/2024,numeric__01/01/2024_1
Bên cho vay,Bên cho vay,Bên cho vay,Loại tiền,Thời gian đáo hạn,Vay dài hạn đến hạn trả VND,Vay dài dạn VND,Vay dài hạn đến hạn trả VND,Vay dài dạn VND,,,,,,
Ngân hàng TMCP Quân đội (*),Bên cho vay > Ngân hàng TMCP Quân đội (*),Ngân hàng TMCP Quân đội (*),USD,Tháng 6 năm 2028,73.944.594.000,187.463.190.791,70.700.420.000,249.939.031.053,,,73944594000.0,187463190791.0,70700420000.0,249939031053.0
Ngân hàng TMCP Công thương Việt Nam (**),Bên cho vay > Ngân hàng TMCP Công thương Việt Nam (**),Ngân hàng TMCP Công thương Việt Nam (**),VND,Tháng 12 năm 2036,184.543.227.008,2.029.975.497.092,-,-,,,184543227008.0,2029975497092.0,,
,,,,,258.487.821.008,2.217.438.687.883,70.700.420.000,249.939.031.053,,,258487821008.0,2217438687883.0,70700420000.0,249939031053.0
