row_label_raw,row_label_full,STT,Tên Công ty,Hoạt động chính,Giấy chứng nhận đăng ký doanh nghiệp,"Nơi thành lập, đăng ký hoạt động",31/12/2024,31/12/2024_1,01/01/2024,01/01/2024_1,numeric__Tên Công ty,numeric__Hoạt động chính,numeric__Giấy chứng nhận đăng ký doanh nghiệp,"numeric__Nơi thành lập, đăng ký hoạt động",numeric__31/12/2024,numeric__31/12/2024_1,numeric__01/01/2024,numeric__01/01/2024_1
STT,STT,STT,Tên Công ty,Hoạt động chính,Giấy chứng nhận đăng ký doanh nghiệp,"Nơi thành lập, đăng ký hoạt động",Tỷ lệ sở hữu(%),Tỷ lệ quyền biểu quyết(%),Tỷ lệ sở hữu(%),Tỷ lệ quyền biểu quyết(%),,,,,,,,
II.,II.,II.,Công ty con sở hữu gián tiếp,Công ty con sở hữu gián tiếp,Công ty con sở hữu gián tiếp,Công ty con sở hữu gián tiếp,Công ty con sở hữu gián tiếp,Công ty con sở hữu gián tiếp,Công ty con sở hữu gián tiếp,Công ty con sở hữu gián tiếp,,,,,,,,
1,II. > 1,1,Skymate Limited,Kinh doanh và cho thuê tàu bay,Số 327015ngày 15 tháng 9 năm 2017,Cayman Islands,100,100,100,100,,,,,100.0,100.0,100.0,100.0
2,II. > 2,2,Công ty Cổ phần VietjetAir Cargo,Cung cấp dịch vụ vận chuyển hàng hóa và các dịch vụ hỗ trợ liên quan,Số 0312759089ngày 13 tháng 6 năm 2024,Việt Nam,64,67,64,67,,,,,64.0,67.0,64.0,67.0
III.,III.,III.,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,,,,,,,
1,III. > 1,1,"Thai Vietjet Air Joint Stock Co., Ltd",Cung cấp dịch vụ vận chuyển hàng hóa và hành khách và các dịch vụ liên quan,Số 0105556100551ngày 25 tháng 6 năm 2013,Thái Lan,9,9,9,9,,,,,9.0,9.0,9.0,9.0
2,III. > 2,2,Công ty Cổ phần Nhà ga Quốc tế Cam Ranh (*),Cung cấp các dịch vụ hỗ trợ trực tiếp cho ngành vận chuyển hàng không,Số 4201676638ngày 5 tháng 2 năm 2016,Việt Nam,10,10,10,10,,,,,10.0,10.0,10.0,10.0
